ticker,PBTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-02,2.8
2019-04-03,39.6887
2019-04-04,-18.1058
2019-04-05,5.102
2019-04-08,3.3981
2019-04-09,-0.1565
2019-04-10,-10.5016
2019-04-11,-1.7513
2019-04-12,1.9607999999999999
2019-04-15,-5.5944
2019-04-16,-8.5185
2019-04-17,-1.8218999999999999
2019-04-18,9.0722
2019-04-22,-2.2684
2019-04-23,0.3868
2019-04-24,-1.1561
2019-04-25,-5.848
2019-04-26,-1.4493
2019-04-29,-0.3151
2019-04-30,2.2129
2019-05-01,-0.2062
2019-05-02,4.7521
2019-05-03,1.7751000000000001
2019-05-06,-2.5194
2019-05-07,6.9583
2019-05-08,-1.8587
2019-05-09,-3.5038
2019-05-10,-1.8646
2019-05-13,-3.8
2019-05-14,2.079
2019-05-15,-0.611
2019-05-16,-2.6639
2019-05-17,-7.7895
2019-05-20,-13.7009
2019-05-21,0.5318
2019-05-22,13.6842
2019-05-23,-9.7222
2019-05-24,-0.7436
2019-05-28,-3.6425
2019-05-29,10.1877
2019-05-30,-2.6764
2019-05-31,-4.75
2019-06-03,-4.7244
2019-06-04,7.7135
2019-06-05,2.3018
2019-06-06,-2.25
2019-06-07,-0.2558
2019-06-10,0.0
2019-06-11,-1.2821
2019-06-12,-3.6364
2019-06-13,2.4259
2019-06-14,-6.5789
2019-06-17,2.2535
2019-06-18,-2.7548
2019-06-19,2.2663
2019-06-20,-1.662
2019-06-21,-9.5775
2019-06-24,3.7382999999999997
2019-06-25,4.8048
2019-06-26,10.0287
2019-06-27,-1.3021
2019-06-28,-5.5409
2019-07-01,3.352
2019-07-02,1.0811
2019-07-03,-6.1497
2019-07-05,3.7037
2019-07-08,1.9231
2019-07-09,-1.0782
2019-07-10,0.8202
2019-07-11,-0.0027
2019-07-12,4.0541
2019-07-15,-7.7922
2019-07-16,-7.3239
2019-07-17,-1.8237
2019-07-18,-0.9288
2019-07-19,13.125
2019-07-22,1.9337
2019-07-23,-4.065
2019-07-24,1.6949
2019-07-25,-7.1667
2019-07-26,2.7528
2019-07-29,-9.7263
2019-07-30,7.9839
2019-07-31,3.9582
2019-08-01,-2.2989
2019-08-02,2.9412000000000003
2019-08-05,0.0
2019-08-06,4.2857
2019-08-07,-7.3972999999999995
2019-08-08,2.3669000000000002
2019-08-09,-2.0231
2019-08-12,-1.1799
2019-08-13,-1.4925
2019-08-14,2.4242
2019-08-15,-6.213
2019-08-16,4.7318999999999996
2019-08-19,-0.6024
