ticker,APVNF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-11,36.707300000000004
2007-01-12,17.7331
2007-01-17,3.4453
2007-01-22,12.6091
2007-01-24,10.7723
2007-01-30,-8.4838
2007-02-02,1.3149
2007-02-20,19.622
2007-02-21,2.9972
2007-02-22,41.7868
2007-02-23,20.6538
2007-02-26,-17.1182
2007-02-28,-11.2927
2007-03-01,-0.9893
2007-03-05,9.3418
2007-03-07,-4.0567
2007-03-13,1.8394
2007-03-19,-11.1243
2007-03-22,6.3085
2007-03-23,-19.6669
2007-03-29,-6.6371
2007-03-30,13.7221
2007-04-02,1.0009
2007-05-07,2.6265
2007-05-15,-6.0782
2007-06-01,-6.3769
2007-06-04,-6.6495999999999995
2007-06-05,-5.586
2007-06-06,3.5086
2007-06-15,-4.9849
2007-06-19,18.887
2007-06-21,-1.216
2007-06-22,3.6664
2007-07-03,-8.6313
2007-07-06,-2.5503
2007-07-09,4.1801
2007-07-10,-8.4515
2007-07-24,7.7282
2007-08-16,-37.5087
2007-08-17,4.1429
2007-08-27,18.0356
2007-08-31,24.9273
2007-09-05,22.6876
2007-09-06,14.4263
2007-09-10,24.4639
2007-09-11,-5.4268
2007-09-13,6.4466
2007-09-14,-2.1083
2007-09-18,-4.7973
2007-09-19,1.9872
2007-09-20,-2.005
2007-09-21,-2.1792
2007-09-24,13.9746
2007-09-25,-4.0127
2007-09-26,12.786200000000001
2007-09-27,9.1377
2007-09-28,-1.1320999999999999
2007-10-01,-5.6707
2007-10-05,-3.4104
2007-10-10,-1.7056
2007-10-11,0.5479
2007-10-12,-0.9991
2007-10-15,-7.0336
2007-10-16,10.0905
2007-10-17,13.8941
2007-10-18,-4.0533
2007-10-22,-6.8597
2007-10-25,26.7843
2007-10-26,3.3806
2007-10-29,5.7618
2007-10-30,-3.8543
2007-10-31,8.3315
2007-11-01,9.6884
2007-11-02,18.189
2007-11-05,-0.1568
2007-11-06,7.9799
2007-11-07,-12.7146
2007-11-08,1.6667
2007-11-09,2.252
2007-11-12,-18.5555
2007-11-13,10.3346
2007-11-14,-4.2462
2007-11-15,-5.2916
2007-11-16,-1.81
2007-11-19,-11.8413
2007-11-20,-3.608
2007-11-21,-5.9151
2007-11-23,16.8311
2007-11-26,8.3226
2007-11-27,-14.0396
2007-11-28,5.4279
2007-11-29,1.0707
2007-11-30,2.9483
2007-12-03,1.05
2007-12-04,-6.1929
2007-12-05,-3.1236
2007-12-06,-6.5401
2007-12-07,0.5046
2007-12-10,2.3706
