ticker,CRNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-08-04,32.3529
2000-08-07,0.8333
2000-08-08,-3.3058
2000-08-09,-6.8376
2000-08-10,-11.9266
2000-08-11,-4.8611
2000-08-14,0.7299
2000-08-15,-0.7246
2000-08-16,-0.365
2000-08-17,7.6923
2000-08-18,-4.0816
2000-08-21,9.9291
2000-08-22,14.1935
2000-08-23,16.9492
2000-08-24,-5.7971
2000-08-25,8.9744
2000-08-28,7.9412
2000-08-29,4.6322
2000-08-30,-5.8333
2000-08-31,3.2633
2000-09-01,-6.8024000000000004
2000-09-05,-9.6552
2000-09-06,4.3257
2000-09-07,22.439
2000-09-08,1.992
2000-09-11,-18.5547
2000-09-12,-7.9137
2000-09-13,2.0833
2000-09-14,-1.0204
2000-09-15,2.0619
2000-09-18,-1.0101
2000-09-19,-5.6122
2000-09-20,-0.8108
2000-09-21,-8.4469
2000-09-22,15.4762
2000-09-25,8.2474
2000-09-26,-1.4285999999999999
2000-09-27,-5.314
2000-09-28,8.1633
2000-09-29,1.4151
2000-10-02,-7.907
2000-10-03,-5.0505
2000-10-04,0.0
2000-10-05,-3.1915
2000-10-06,-7.6923
2000-10-09,-5.9524
2000-10-10,-1.2658
2000-10-11,-12.8205
2000-10-12,5.8824
2000-10-13,2.7778
2000-10-16,4.3919
2000-10-17,-2.9126
2000-10-18,-2.6667
2000-10-19,-5.1370000000000005
2000-10-20,1.444
2000-10-23,-10.6762
2000-10-24,-7.5697
2000-10-25,-13.7931
2000-10-26,-8.0
2000-10-27,17.3913
2000-10-30,-5.0926
2000-10-31,-2.439
2000-11-01,4.0
2000-11-02,-1.9231
2000-11-03,10.7843
2000-11-06,3.5398
2000-11-07,-6.4103
2000-11-08,-0.4566
2000-11-09,-8.2569
2000-11-10,-15.0
2000-11-13,1.1764999999999999
2000-11-14,12.7907
2000-11-15,6.701
2000-11-16,-7.2464
2000-11-17,7.2917
2000-11-20,-2.9126
2000-11-21,3.0
2000-11-22,-12.6214
2000-11-24,8.8889
2000-11-27,1.0204
2000-11-28,-2.0202
2000-11-29,-11.3402
2000-11-30,2.3256
2000-12-01,0.0
2000-12-04,4.5455
2000-12-05,8.1522
2000-12-06,10.5528
2000-12-07,1.8182
2000-12-08,0.0
2000-12-11,12.5
2000-12-12,-1.5873
2000-12-13,3.2258
2000-12-14,-1.5625
2000-12-15,-8.3333
2000-12-18,-2.1645
2000-12-19,0.885
2000-12-20,-13.5965
2000-12-21,-4.5685
2000-12-22,0.5319
