ticker,BEAG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-02,57.1429
2018-03-06,-30.9091
2018-03-08,-34.2105
2018-03-13,28.0
2018-03-15,18.75
2018-05-24,13.1579
2018-06-18,132.5581
2018-07-26,300.0
2018-07-27,0.0
2018-08-01,-25.0
2018-08-02,0.0
2018-08-16,25.3333
2018-08-17,1.0638
2018-08-20,0.0
2018-08-21,0.0
2018-08-22,5.2632
2018-08-23,0.0
2018-08-24,0.0
2018-08-27,3.0
2018-08-28,1.9417
2018-08-29,-3.8095
2018-08-30,-0.5941
2018-08-31,5.5777
2018-09-04,1.8868
2018-09-05,0.9259
2018-09-06,0.9174
2018-09-07,0.9091
2018-09-10,0.9009
2018-09-11,0.8929
2018-09-12,-1.7699
2018-09-13,3.6036
2018-09-14,6.087
2018-09-17,1.6393
2018-09-18,0.8065
2018-09-19,0.0
2018-09-20,1.6
2018-09-21,0.0
2018-09-24,0.7874
2018-09-25,0.7813
2018-09-26,0.7752
2018-09-27,0.3846
2018-09-28,2.682
2018-10-01,-1.4925
2018-10-02,-1.5152
2018-10-03,1.5385
2018-10-04,1.1364
2018-10-05,1.8727
2018-10-08,-5.1471
2018-10-09,-6.9767
2018-10-10,-7.0833
2018-10-11,6.7265
2018-10-12,5.042
2018-10-15,8.0
2018-10-16,2.2222
2018-10-17,0.0
2018-10-18,-2.8986
2018-10-19,-0.7463
2018-10-22,4.5113
2018-10-23,0.0
2018-10-24,-8.9928
2018-10-25,-5.1383
2018-10-26,-4.1667
2018-10-29,3.4783
2018-10-30,-22.6891
2018-10-31,8.6957
2018-11-01,-1.0
2018-11-02,-9.0909
2018-11-05,11.1111
2018-11-06,2.0
2018-11-07,-14.951
2018-11-08,4.7839
2018-11-09,8.9109
2018-11-12,1.0101
2018-11-13,-7.8
2018-11-14,11.7137
2018-11-15,2.9126
2018-11-16,-4.717
2018-11-19,-1.4851
2018-11-20,-4.5226
2018-11-21,-2.9474
2018-11-23,1.9523000000000001
2018-11-26,-3.7234
2018-11-27,2.7624
2018-11-28,-2.6882
2018-11-29,2.7514
2018-11-30,6.4523
2018-12-03,-14.1327
2018-12-04,7.0588
2018-12-06,-2.1978
2018-12-07,-3.3708
2018-12-10,-2.3256
2018-12-11,-5.3571
2018-12-12,-5.6604
2018-12-13,1.3333
2018-12-14,-1.3158
2018-12-17,-5.3333
2018-12-18,11.9718
2018-12-19,-4.4025
2018-12-20,-2.6316
2018-12-21,0.5405
2018-12-24,-17.3387
