ticker,CYBE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.2273
2000-01-04,0.2278
2000-01-05,1.3636
2000-01-06,1.7936999999999999
2000-01-07,0.4405
2000-01-10,5.2632
2000-01-11,2.2917
2000-01-12,-1.4257
2000-01-13,-1.2397
2000-01-14,0.2092
2000-01-18,7.7244
2000-01-19,5.0388
2000-01-20,-0.5535
2000-01-21,0.9276
2000-01-24,2.5735
2000-01-25,5.914
2000-01-26,4.5685
2000-01-27,-1.4563
2000-01-28,-8.046
2000-01-31,-7.5
2000-02-01,-6.1776
2000-02-02,2.0576
2000-02-03,3.8306
2000-02-04,4.466
2000-02-07,0.7435
2000-02-08,4.059
2000-02-09,3.1915
2000-02-10,6.701
2000-02-11,-8.3736
2000-02-14,-0.703
2000-02-15,-3.7168
2000-02-16,-1.6543999999999999
2000-02-17,3.9252000000000002
2000-02-18,2.518
2000-02-22,3.8596
2000-02-23,-2.8716
2000-02-24,-1.0435
2000-02-25,-0.1757
2000-02-28,0.1761
2000-02-29,3.3392
2000-03-01,2.3810000000000002
2000-03-02,10.9635
2000-03-03,0.5988
2000-03-06,-1.1905000000000001
2000-03-07,-6.3253
2000-03-08,-0.1608
2000-03-09,8.2126
2000-03-10,3.2738
2000-03-13,-2.7378
2000-03-14,-4.2963000000000005
2000-03-15,-1.548
2000-03-16,-3.1447
2000-03-17,2.5974
2000-03-20,2.8481
2000-03-21,-2.1538
2000-03-22,-0.9434
2000-03-23,4.127
2000-03-24,4.7256
2000-03-27,4.6579
2000-03-28,-0.9736
2000-03-29,-1.264
2000-03-30,-0.2845
2000-03-31,-3.1384
2000-04-03,-6.9219
2000-04-04,1.2658
2000-04-05,2.6563
2000-04-06,1.0654
2000-04-07,4.8193
2000-04-10,-1.5445
2000-04-11,-2.5173
2000-04-12,-1.1976
2000-04-13,-1.2121
2000-04-14,-9.2025
2000-04-17,-6.7568
2000-04-18,8.6957
2000-04-19,9.3333
2000-04-20,0.3049
2000-04-24,-5.7751
2000-04-25,2.9032
2000-04-26,-0.3135
2000-04-27,-3.1447
2000-04-28,-0.6494
2000-05-01,-5.719
2000-05-02,-3.6395
2000-05-03,2.6978
2000-05-04,-0.5254
2000-05-05,0.7042
2000-05-08,-6.6434
2000-05-09,3.5581
2000-05-10,-0.9042
2000-05-11,3.6496
2000-05-12,1.0563
2000-05-15,-2.0906
2000-05-16,1.4235
2000-05-17,-1.0526
2000-05-18,-0.7092
2000-05-19,6.4286
2000-05-22,8.3893
