ticker,DVAX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-02-19,25.3333
2004-02-20,-4.2553
2004-02-23,-4.4444
2004-02-24,-0.5814
2004-02-25,0.5848
2004-02-26,2.3256
2004-02-27,-4.5455
2004-03-01,-2.2619
2004-03-02,-0.1218
2004-03-03,-0.6098
2004-03-04,8.589
2004-03-05,-6.8927
2004-03-08,-0.4854
2004-03-09,-2.439
2004-03-10,1.875
2004-03-11,-1.8405
2004-03-12,0.625
2004-03-15,0.0
2004-03-16,-3.6025
2004-03-17,2.9638999999999998
2004-03-18,-1.8648
2004-03-19,-3.7113
2004-03-22,-2.2517
2004-03-23,0.4065
2004-03-24,-2.834
2004-03-25,0.0
2004-03-26,2.6389
2004-03-29,3.2476
2004-03-30,0.9174
2004-03-31,-1.5584
2004-04-01,-1.3193
2004-04-02,-0.1337
2004-04-05,3.6145
2004-04-06,-1.8088
2004-04-07,-8.4211
2004-04-08,-3.8792999999999997
2004-04-12,7.6233
2004-04-13,-4.4444
2004-04-14,3.6337
2004-04-15,0.2805
2004-04-16,0.0
2004-04-19,-2.0979
2004-04-20,-3.5714
2004-04-21,-6.2222
2004-04-22,5.3712
2004-04-23,-3.2984
2004-04-26,1.7054
2004-04-27,2.439
2004-04-28,-3.2738
2004-04-29,0.0
2004-04-30,7.3846
2004-05-03,-6.8768
2004-05-04,0.0
2004-05-05,-0.4615
2004-05-06,2.6121
2004-05-07,-4.9556000000000004
2004-05-10,-0.9509
2004-05-11,4.0
2004-05-12,16.1538
2004-05-13,-7.5497
2004-05-14,13.8968
2004-05-17,0.6289
2004-05-18,1.375
2004-05-19,-7.5216
2004-05-20,6.6533
2004-05-21,9.3887
2004-05-24,-0.6857
2004-05-25,0.6904
2004-05-26,2.8571
2004-05-27,0.5556
2004-05-28,2.7624
2004-06-01,-0.8602
2004-06-02,0.5423
2004-06-03,-2.9126
2004-06-04,0.2222
2004-06-07,-0.2217
2004-06-08,-2.3333
2004-06-09,1.5927
2004-06-10,-0.3359
2004-06-14,0.6742
2004-06-15,0.8929
2004-06-16,-3.0973
2004-06-17,1.0274
2004-06-18,-1.2429000000000001
2004-06-21,1.7162
2004-06-22,-2.1372
2004-06-23,2.9885
2004-06-24,-1.5625
2004-06-25,-7.7097999999999995
2004-06-28,-6.8796
2004-06-29,-7.2559000000000005
2004-06-30,-5.2632
2004-07-01,-2.2523
2004-07-02,1.0753
2004-07-06,-2.2796
2004-07-07,-2.0218
2004-07-08,-11.746
2004-07-09,-0.8993
