ticker,MEDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-01-28,0.0
2009-02-26,-0.6667
2009-03-03,0.4027
2009-03-17,0.2674
2009-04-02,1.3333
2009-04-03,5.2632
2009-04-16,1.25
2009-04-27,3.7037
2009-04-28,-5.119
2009-04-29,0.3764
2009-05-11,0.0
2009-05-14,1.25
2009-05-28,-1.6049
2009-06-02,1.6311
2009-06-05,1.2346
2009-06-08,2.439
2009-06-09,1.1905000000000001
2009-06-11,0.0
2009-06-12,-1.1764999999999999
2009-06-25,7.1429
2009-06-26,0.0
2009-06-29,-27.7778
2009-06-30,-15.3846
2009-07-06,3.8523
2009-07-07,1.7835999999999999
2009-07-08,4.9237
2009-07-16,39.3443
2009-07-24,5.8824
2009-07-27,0.0
2009-07-30,-1.1111
2009-08-03,-33.7079
2009-08-11,22.0339
2009-08-12,13.8889
2009-08-13,0.0
2009-08-14,-1.2195
2009-08-17,0.0
2009-08-18,-8.642
2009-08-19,8.1081
2009-08-20,-3.75
2009-08-21,-15.5844
2009-08-24,-15.3846
2009-08-25,-7.2727
2009-08-26,5.8824
2009-08-27,1.8519
2009-08-28,-7.2727
2009-08-31,21.5686
2009-09-01,4.8387
2009-09-02,-6.1538
2009-09-03,-1.6393
2009-09-04,5.0
2009-09-08,0.0
2009-09-09,-11.1111
2009-09-10,1.7856999999999998
2009-09-11,-1.7544
2009-09-14,1.7856999999999998
2009-09-15,-19.2982
2009-09-16,13.0435
2009-09-17,0.0
2009-09-18,-9.6154
2009-09-21,0.0
2009-09-22,8.5106
2009-09-23,-5.8824
2009-09-24,0.0
2009-09-25,-8.3333
2009-09-28,-11.3636
2009-09-29,15.3846
2009-09-30,-8.1944
2009-10-01,4.0847
2009-10-02,16.2791
2009-10-05,2.0
2009-10-06,-9.8039
2009-10-07,-4.3478
2009-10-08,2.2727
2009-10-09,-2.2222
2009-10-12,-0.3125
2009-10-13,2.5933
2009-10-14,6.6667
2009-10-15,14.5833
2009-10-16,7.2727
2009-10-19,5.0847
2009-10-20,9.6774
2009-10-21,8.0882
2009-10-22,-4.7619
2009-10-23,-12.857099999999999
2009-10-26,4.918
2009-10-27,12.5
2009-10-28,-5.8333
2009-10-29,-2.8024
2009-10-30,-4.4006
2009-11-02,12.6984
2009-11-03,-15.493
2009-11-04,-10.0
2009-11-05,1.2963
2009-11-06,-1.2797
2009-11-09,3.7037
2009-11-10,0.0
2009-11-11,-16.0714
2009-11-12,-4.2553
2009-11-13,-4.4444
