ticker,AMNZF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-27,2.7298
2006-10-30,0.3925
2006-11-01,-3.5191
2006-11-02,0.9498
2006-11-22,9.5973
2006-11-29,3.4798999999999998
2006-12-06,-2.0077
2006-12-07,-1.1571
2006-12-13,-2.2727
2006-12-18,-1.116
2006-12-27,2.3105
2006-12-28,-0.8895
2007-01-03,1.521
2007-01-04,-1.2973
2007-01-05,-2.6694
2007-01-08,0.8604
2007-01-09,0.2962
2007-01-11,0.4253
2007-01-12,-0.247
2007-01-18,3.5377
2007-01-22,-4.5103
2007-01-23,5.2839
2007-01-24,-0.1246
2007-01-25,0.1985
2007-01-26,-0.3792
2007-01-30,0.3636
2007-01-31,-1.9928
2007-02-01,-0.3061
2007-02-05,1.9758
2007-02-06,-1.1193
2007-02-07,-1.2584
2007-02-08,-0.2793
2007-02-09,-0.4669
2007-02-12,1.7824
2007-02-13,2.6094
2007-02-14,3.2953
2007-02-21,2.6957
2007-02-26,1.0161
2007-02-27,0.0838
2007-02-28,-1.8425
2007-03-01,1.5358
2007-03-02,-0.6723
2007-03-09,-1.1844000000000001
2007-03-14,0.6849
2007-03-16,6.2925
2007-03-19,-1.2
2007-03-20,-3.7247
2007-03-26,10.0084
2007-03-29,-8.792
2007-03-30,2.9337999999999997
2007-04-03,0.4072
2007-04-10,1.3788
2007-04-11,2.64
2007-04-12,0.8574
2007-04-13,2.7821
2007-04-16,5.2632
2007-04-17,0.0
2007-04-18,-0.7143
2007-04-19,0.7194
2007-04-20,25.0
2007-04-23,-16.5714
2007-04-24,2.7397
2007-04-25,-0.6667
2007-04-26,0.0
2007-04-27,7.3826
2007-04-30,12.5
2007-05-01,-4.4444
2007-05-02,2.3203
2007-05-03,-0.5747
2007-05-04,-1.7341
2007-05-07,0.0
2007-05-08,-1.1764999999999999
2007-05-09,-1.7856999999999998
2007-05-10,-3.0303
2007-05-11,-3.75
2007-05-14,12.3377
2007-05-15,-0.578
2007-05-16,0.0
2007-05-17,-6.3953
2007-05-18,-0.6211
2007-05-21,2.5
2007-05-22,3.6585
2007-05-23,-0.5882
2007-05-24,-5.3254
2007-05-25,0.0
2007-05-29,-2.5
2007-05-30,-5.1282
2007-05-31,-1.3514
2007-06-01,6.1644
2007-06-04,-2.5806
2007-06-05,2.649
2007-06-06,0.0
2007-06-07,-3.4718
2007-06-08,-5.0921
2007-06-11,3.5211
2007-06-12,-3.4013999999999998
2007-06-14,2.8169
2007-06-15,2.7397
2007-06-18,0.0
