ticker,NIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-12,5.4313
2018-09-13,75.7576
2018-09-14,-14.6552
2018-09-17,-14.1414
2018-09-18,-9.6471
2018-09-19,10.6771
2018-09-20,3.2941
2018-09-21,-2.164
2018-09-24,-8.3818
2018-09-25,-3.6849
2018-09-26,-1.0554
2018-09-27,-6.5333
2018-09-28,-0.428
2018-10-01,-5.4441
2018-10-02,-10.1515
2018-10-03,6.2395
2018-10-04,-0.7937
2018-10-05,0.16
2018-10-08,-3.5144
2018-10-09,22.351
2018-10-10,4.8713999999999995
2018-10-11,-7.3548
2018-10-12,3.8997
2018-10-15,4.8257
2018-10-16,2.8133
2018-10-17,-3.3582
2018-10-18,-3.4749
2018-10-19,-2.4
2018-10-22,-3.9617
2018-10-23,-3.1294
2018-10-24,-9.3979
2018-10-25,4.5381
2018-10-26,-1.5504
2018-10-29,-2.5197000000000003
2018-10-30,-3.8772
2018-10-31,-0.8403
2018-11-01,12.2034
2018-11-02,-1.9637
2018-11-05,2.9276
2018-11-06,-4.1916
2018-11-07,5.3125
2018-11-08,-0.7418
2018-11-09,1.1958
2018-11-12,-1.7725
2018-11-13,1.9548999999999999
2018-11-14,4.7198
2018-11-15,3.3803
2018-11-16,-2.0436
2018-11-19,9.0403
2018-11-20,-2.1684
2018-11-21,0.5215
2018-11-23,-3.2425
2018-11-26,-1.2064
2018-11-27,1.4925
2018-11-28,8.5561
2018-11-29,-4.064
2018-11-30,-1.027
2018-12-03,-1.6861000000000002
2018-12-04,-6.5963
2018-12-06,4.096
2018-12-07,-5.156
2018-12-10,0.5722
2018-12-11,0.7112
2018-12-12,6.4972
2018-12-13,2.7851
2018-12-14,-0.6452
2018-12-17,-8.7013
2018-12-18,0.569
2018-12-19,-3.3946
2018-12-20,-4.5388
2018-12-21,-6.9018
2018-12-24,-2.4712
2018-12-26,7.4324
2018-12-27,1.1006
2018-12-28,0.6221
2018-12-31,-1.5455999999999999
2019-01-02,-2.6688
2019-01-03,-2.4194
2019-01-04,5.124
2019-01-07,2.2013
2019-01-08,-1.5385
2019-01-09,3.5937
2019-01-10,0.4525
2019-01-11,-1.0511
2019-01-14,3.1866
2019-01-15,0.2941
2019-01-16,-1.6129
2019-01-17,1.4903
2019-01-18,-1.4684
2019-01-22,-2.0864
2019-01-23,-0.3044
2019-01-24,0.458
2019-01-25,1.0638
2019-01-28,0.3008
2019-01-29,4.048
2019-01-30,7.4928
2019-01-31,5.63
2019-02-01,0.2538
