ticker,RNVT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-17,169.3333
2000-03-20,0.9901
2000-03-21,0.0
2000-03-27,-50.9804
2000-04-07,-48.0
2000-04-11,0.0
2000-04-12,292.3077
2000-04-13,-74.5098
2000-04-17,292.3077
2000-04-18,-74.5098
2000-05-25,13650.0
2000-05-30,-99.2727
2000-05-31,292.3077
2000-06-20,-63.2353
2000-07-19,0.0
2000-07-25,0.0
2000-07-26,214.6667
2000-09-05,-78.8136
2000-09-26,0.0
2000-10-24,-4.0
2000-11-29,-58.3333
2001-02-06,0.0
2001-04-18,20.0
2001-05-29,-16.6667
2001-07-02,0.0
2001-08-01,260.0
2001-08-27,-72.2222
2001-09-26,0.0
2001-10-04,0.0
2001-10-05,0.0
2001-10-11,700.0
2001-10-12,-87.5
2001-12-12,0.0
2002-01-14,0.0
2002-01-28,0.0
2002-02-07,-20.0
2002-05-03,225.0
2002-05-29,-84.6154
2002-05-30,-50.0
2002-06-05,0.0
2002-07-17,0.0
2002-10-10,-50.0
2002-10-11,0.0
2002-10-29,300.0
2002-10-30,0.0
2002-11-15,-85.0
2002-11-20,-83.3333
2002-12-18,100.0
2002-12-20,2900.0
2002-12-27,-96.6667
2003-02-06,0.0
2003-05-07,432900.0
2003-08-12,-99.9769
2003-09-23,0.0
2003-10-09,0.0
2003-12-04,0.0
2003-12-31,0.0
2004-01-05,900.0
2004-01-06,0.0
2004-02-18,-50.0
2004-03-17,100.0
2004-03-24,0.0
2004-04-01,800.0
2004-04-02,0.0
2004-04-08,0.0
2004-04-16,-88.8889
2004-05-18,0.0
2004-05-21,0.0
2004-06-17,500.0
2004-08-16,-16.6667
2004-09-07,-80.0
2004-10-19,100.0
2005-01-12,50.0
2005-01-25,233.3333
2005-02-04,0.0
2005-02-16,-70.0
2005-02-24,-33.3333
2005-04-07,0.0
2005-04-14,150.0
2005-04-21,-40.0
2005-05-20,66.6667
2005-05-24,0.0
2005-05-27,-20.0
2005-06-16,100.0
2005-06-28,-62.5
2005-06-29,0.0
2005-07-19,66.6667
2005-08-29,-40.0
2005-09-22,0.0
2005-11-17,0.0
2005-12-19,0.0
2006-02-09,0.0
2006-03-02,-33.3333
2006-04-07,0.0
2006-05-24,100.0
2006-06-07,-25.0
2006-06-08,-33.3333
2006-08-22,0.0
2006-08-24,0.0
2006-08-25,0.0
2006-09-28,0.0
2006-11-01,-50.0
2006-11-07,0.0
2006-11-10,0.0
2006-11-14,0.0
2006-12-27,0.0
