ticker,PRT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-02,-8.8235
2018-05-03,-3.2258
2018-05-04,3.4667
2018-05-07,1.6753
2018-05-08,-0.8238
2018-05-09,-0.5112
2018-05-10,-0.8349
2018-05-11,-0.1943
2018-05-14,2.5366999999999997
2018-05-15,1.2298
2018-05-16,0.7033
2018-05-17,0.3175
2018-05-18,-0.443
2018-05-21,1.4622
2018-05-22,-0.7519
2018-05-23,0.4419
2018-05-24,-0.6285
2018-05-25,-1.3283
2018-05-29,4.0385
2018-05-30,-1.0724
2018-05-31,1.825
2018-06-01,-1.2979
2018-06-04,0.9393
2018-06-05,-0.7444
2018-06-06,0.25
2018-06-07,-0.7481
2018-06-08,1.2563
2018-06-11,0.1861
2018-06-12,0.6192
2018-06-13,-0.9846
2018-06-14,0.0622
2018-06-15,0.0
2018-06-18,0.4348
2018-06-19,-3.4013999999999998
2018-06-20,0.6402
2018-06-21,1.145
2018-06-22,1.8239
2018-06-25,-1.6677
2018-06-26,1.696
2018-06-27,-0.8647
2018-06-28,0.584
2018-06-29,1.1853
2018-07-02,0.4316
2018-07-03,-0.0614
2018-07-05,0.0614
2018-07-06,0.0
2018-07-09,-1.105
2018-07-10,-0.5587
2018-07-11,-0.1248
2018-07-12,0.375
2018-07-13,-0.1245
2018-07-16,-1.6833
2018-07-17,0.3805
2018-07-18,0.4422
2018-07-19,-1.3208
2018-07-20,1.0198
2018-07-23,0.8833
2018-07-24,0.0625
2018-07-25,0.9375
2018-07-26,0.6192
2018-07-27,-0.3077
2018-07-30,0.057
2018-07-31,-1.7412999999999998
2018-08-01,-0.8228
2018-08-02,-0.8934
2018-08-03,-0.1932
2018-08-06,2.2580999999999998
2018-08-07,-0.5047
2018-08-08,-2.4731
2018-08-09,1.6255
2018-08-10,-1.0237
2018-08-13,-0.4525
2018-08-14,2.5324999999999998
2018-08-15,-1.5199
2018-08-16,0.1736
2018-08-17,0.6612
2018-08-20,-0.7653
2018-08-21,-7.9049
2018-08-22,2.4424
2018-08-23,-4.7003
2018-08-24,-3.8599
2018-08-27,9.2193
2018-08-28,-0.953
2018-08-29,-1.8557000000000001
2018-08-30,-1.3126
2018-08-31,-2.0
2018-09-04,-0.8017
2018-09-05,-3.3064
2018-09-06,0.3799
2018-09-07,-1.3626
2018-09-10,-3.3001
2018-09-11,-4.7619
2018-09-12,-0.3333
2018-09-13,0.5853
2018-09-14,-0.2494
2018-09-17,0.6667
2018-09-18,7.202
2018-09-19,-1.1583
