ticker,RCTY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-28,0.0
2001-10-25,1205.0
2002-10-07,-51.8008
2004-01-27,-99.2051
2004-05-25,0.0
2004-05-26,0.0
2006-12-11,-99.84
2006-12-12,0.0
2007-03-26,2212.5
2007-03-27,18.9189
2007-03-28,15.4545
2007-03-29,-1.5748
2007-03-30,20.4
2007-04-02,10.6312
2007-04-03,12.3123
2007-04-04,19.5187
2007-04-05,-8.0537
2007-04-09,-35.0365
2007-04-10,17.2285
2007-04-11,1.278
2007-04-12,-8.2019
2007-04-13,11.3402
2007-04-16,16.6667
2007-04-17,7.1429
2007-04-18,-1.7284000000000002
2007-04-19,-2.5126
2007-04-20,5.4124
2007-04-23,-17.8484
2007-04-24,4.7619
2007-04-25,9.0909
2007-04-26,8.0729
2007-04-27,2.8916
2007-04-30,0.7026
2007-05-01,2.7907
2007-05-02,-0.4525
2007-05-03,-17.5
2007-05-04,4.4077
2007-05-07,3.4301
2007-05-08,-12.8827
2007-05-09,-12.0059
2007-05-10,-11.1481
2007-05-11,-10.1124
2007-05-14,6.25
2007-05-15,-46.6667
2007-05-16,-0.7353
2007-05-17,-31.8519
2007-05-18,-5.4348
2007-05-21,4.5977
2007-05-22,0.0
2007-05-23,2.8571
2007-05-24,2.5641
2007-05-25,-5.625
2007-05-29,-33.1126
2007-05-30,-24.7525
2007-05-31,50.0
2007-06-01,14.0351
2007-06-04,-21.5385
2007-06-05,21.5686
2007-06-06,8.0645
2007-06-07,19.403
2007-06-08,23.75
2007-06-11,22.2222
2007-06-12,-8.2645
2007-06-13,0.0
2007-06-14,0.9009
2007-06-15,-0.8929
2007-06-18,0.9009
2007-06-19,6.25
2007-06-20,-7.563
2007-06-21,-8.1818
2007-06-22,-15.8416
2007-06-25,20.0
2007-06-26,21.5686
2007-06-27,5.6452
2007-06-28,-32.8244
2007-06-29,19.3182
2007-07-02,-22.8571
2007-07-03,4.9383
2007-07-05,-37.6471
2007-07-06,3.7736
2007-07-09,9.0909
2007-07-10,-11.6667
2007-07-11,9.434
2007-07-12,0.0
2007-07-13,-24.1379
2007-07-16,-6.8182
2007-07-17,-12.1951
2007-07-18,0.0
2007-07-19,25.0
2007-07-20,-2.2222
2007-07-23,0.0
2007-07-24,-31.8182
2007-07-25,3.3333
2007-07-26,0.0
2007-07-27,3.2258
2007-07-30,0.0
2007-07-31,-28.125
2007-08-01,-19.5652
2007-08-02,-2.7027
2007-08-03,0.0
2007-08-06,-44.4444
