ticker,AFPW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-04-14,0.0
2005-01-27,334.7826
2005-01-28,-20.0
2005-01-31,25.0
2005-02-01,0.0
2005-02-02,-18.0
2005-02-04,-14.6341
2005-02-07,-28.5714
2005-03-10,100.0
2005-03-16,-30.0
2005-03-17,35.7143
2005-03-24,-26.3158
2005-03-29,42.8571
2005-03-30,0.0
2005-03-31,-0.5
2005-04-08,-9.5477
2005-05-17,-16.6667
2005-05-18,4.0
2005-05-19,2.5641
2005-05-20,6.25
2005-05-23,1.2
2005-05-24,3.4643
2005-05-25,2.2472
2005-05-26,-1.0989
2005-05-27,0.0
2005-05-31,0.0
2005-06-01,-1.1111
2005-06-02,3.3708
2005-06-08,3.2609
2005-06-10,-1.0526
2005-06-15,-3.1915
2005-06-17,-4.3956
2005-06-21,3.4483
2005-06-23,1.1111
2005-06-24,0.0
2005-06-27,-12.0879
2005-06-28,13.75
2005-07-08,-1.0989
2005-07-11,-5.5556
2005-07-12,0.0
2005-07-13,0.0
2005-07-14,3.5294
2005-07-22,0.0
2005-07-27,0.0
2005-07-28,-6.8182
2005-08-23,6.0976
2005-08-29,1.1494
2005-08-30,0.0
2005-09-01,2.2727
2005-09-08,-11.1111
2005-09-09,-25.0
2005-09-12,0.0
2005-09-13,25.0
2005-09-14,6.6667
2005-09-15,6.25
2005-09-16,-5.8824
2005-09-20,6.25
2005-09-22,4.4706
2005-09-23,-15.5405
2005-09-30,6.6667
2005-10-10,-12.5
2005-10-11,12.857099999999999
2005-10-12,7.3418
2005-10-13,-0.9434
2005-10-14,-4.7619
2005-10-17,0.0
2005-10-19,-2.5
2005-10-21,-1.2821
2005-10-24,-9.0909
2005-10-25,-7.1429
2005-10-26,10.7692
2005-10-28,4.1667
2005-11-01,-6.6667
2005-11-08,7.1429
2005-11-09,0.0
2005-11-11,0.0
2005-11-14,-9.3333
2005-11-15,2.9412000000000003
2005-11-16,5.7143
2005-11-17,2.7027
2005-11-18,-0.5263
2005-11-21,-0.7937
2005-11-22,1.3333
2005-11-28,-1.3158
2005-11-29,0.0
2005-11-30,-1.3333
2005-12-01,-10.8108
2005-12-05,1.5152
2005-12-06,2.9851
2005-12-07,1.4493
2005-12-08,-8.5714
2005-12-12,-3.125
2005-12-13,1.6129
2005-12-14,1.5873
2005-12-15,-6.25
2005-12-16,0.0
2005-12-19,-1.6667
2005-12-20,-1.6949
2005-12-21,0.0
2005-12-22,0.0
2005-12-23,1.7241
2005-12-28,0.0
