ticker,SAIA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-09-13,-3.7397
2002-09-16,-6.7599
2002-09-17,2.0833
2002-09-18,-6.9388
2002-09-19,-5.2632
2002-09-20,-1.1111
2002-09-23,-1.1236
2002-09-24,-10.5114
2002-09-25,1.5873
2002-09-26,0.5208
2002-09-27,-4.1451
2002-09-30,-12.8649
2002-10-01,0.6203
2002-10-02,-3.2059
2002-10-03,-0.6369
2002-10-04,-3.8462
2002-10-07,-6.0
2002-10-08,-1.4184
2002-10-09,-1.5827
2002-10-10,-0.5848
2002-10-11,1.6176
2002-10-14,4.1968
2002-10-15,6.25
2002-10-16,13.4641
2002-10-17,10.8295
2002-10-18,2.9106
2002-10-21,-2.0303
2002-10-22,-3.5983
2002-10-23,-3.2086
2002-10-24,2.4309
2002-10-25,-1.8338999999999999
2002-10-28,1.978
2002-10-29,1.2931
2002-10-30,-5.3191
2002-10-31,2.2472
2002-11-01,0.3297
2002-11-04,3.1763
2002-11-05,-1.6985000000000001
2002-11-06,5.6048
2002-11-07,-4.1824
2002-11-08,-1.174
2002-11-11,0.432
2002-11-12,-1.2903
2002-11-13,0.6536
2002-11-14,1.4069
2002-11-15,5.6564
2002-11-18,-5.7576
2002-11-19,-0.9646
2002-11-20,-1.6234
2002-11-21,0.099
2002-11-22,-1.7473999999999998
2002-11-25,-1.0067
2002-11-26,-3.8418
2002-11-27,-0.1175
2002-11-29,3.1765
2002-12-02,2.6112
2002-12-03,2.6781
2002-12-04,-1.5152
2002-12-05,-1.0989
2002-12-06,1.6667
2002-12-09,-3.388
2002-12-10,3.3824
2002-12-11,0.1204
2002-12-12,-2.1858
2002-12-13,-0.4469
2002-12-16,5.6117
2002-12-17,-1.7109
2002-12-18,-1.0704
2002-12-19,1.0929
2002-12-20,0.6378
2002-12-23,2.0518
2002-12-24,0.0
2002-12-26,2.6316
2002-12-27,-0.9231
2002-12-30,0.1035
2002-12-31,2.4819
2003-01-02,2.5227
2003-01-03,-1.2795
2003-01-06,-0.2991
2003-01-07,0.0
2003-01-08,1.4
2003-01-09,6.0158
2003-01-10,-2.6977
2003-01-13,2.1033
2003-01-14,-1.779
2003-01-15,-3.0505
2003-01-16,1.7699
2003-01-17,-3.3816
2003-01-21,0.5
2003-01-22,-0.199
2003-01-23,3.0907
2003-01-24,1.9342000000000001
2003-01-27,1.2334
2003-01-28,7.4977
2003-01-29,0.3487
2003-01-30,-0.0869
2003-01-31,1.7391
2003-02-03,2.5641
