ticker,AOOO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-08-30,-14.8936
2000-08-31,-60.0
2000-09-01,100.0
2000-09-05,25.0
2000-09-06,25.0
2000-09-07,0.0
2000-09-11,-4.0
2000-09-12,62.5
2000-09-13,44.2308
2000-09-14,-73.3333
2000-09-15,45.8333
2000-09-18,-31.4286
2000-09-19,0.0
2000-09-20,108.3333
2000-09-22,-52.0
2000-09-25,0.0
2000-09-27,-33.3333
2000-09-28,212.5
2000-09-29,-30.0
2000-10-02,-26.8571
2000-10-03,95.3125
2000-10-04,-47.2
2000-10-05,-24.2424
2000-10-10,0.0
2000-10-13,-50.0
2000-10-16,400.0
2000-10-17,-30.0
2000-10-19,-85.7143
2000-10-23,100.0
2000-10-24,28.0
2000-10-25,25.0
2000-10-26,150.0
2000-10-30,0.0
2000-11-01,-52.0
2000-11-02,25.0
2000-11-03,0.0
2000-11-06,0.0
2000-11-08,0.0
2000-11-09,-46.6667
2000-11-13,200.0
2000-11-14,-37.5
2000-11-15,-56.6667
2000-11-16,-3.8462
2000-11-17,100.0
2000-11-20,-4.0
2000-11-21,-47.9167
2000-11-22,-50.0
2000-11-27,220.0
2000-11-28,-30.0
2000-12-05,78.5714
2000-12-06,-60.0
2000-12-08,87.5
2000-12-11,-14.6667
2000-12-12,56.25
2000-12-13,0.0
2000-12-15,-52.0
2000-12-18,16.6667
2000-12-19,-55.3571
2000-12-20,92.0
2000-12-21,50.0
2000-12-22,-33.3333
2000-12-26,4.1667
2000-12-27,-20.0
2000-12-28,0.0
2000-12-29,0.0
2001-01-02,60.0
2001-01-03,50.0
2001-01-04,-33.3333
2001-01-05,134.375
2001-01-08,-57.3333
2001-01-12,56.25
2001-01-16,-60.0
2001-01-18,60.0
2001-01-23,-37.5
2001-01-29,100.0
2001-02-01,-20.0
2001-02-06,-87.5
2001-02-07,600.0
2001-02-08,-35.7143
2001-02-13,277.7778
2001-02-14,-52.9412
2001-02-22,-37.5
2001-03-05,400.0
2001-03-06,-88.0
2001-03-08,100.0
2001-03-09,66.6667
2001-03-12,-37.5
2001-03-13,12.0
2001-03-16,-57.1429
2001-03-22,66.6667
2001-03-26,160.0
2001-03-27,-69.2308
2001-04-02,150.0
2001-04-12,25.0
2001-04-18,-50.0
2001-04-25,-20.0
2001-04-30,40.0
2001-05-10,42.8571
2001-05-15,0.0
2001-05-16,-30.0
2001-05-17,11.4286
2001-06-18,0.1603
2001-06-22,-87.2
2001-07-10,0.0
2001-07-13,0.0
