ticker,SITOQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-08-13,18.5714
2008-08-14,-4.8193
2008-08-15,0.0
2008-08-18,0.0
2008-08-20,0.0
2008-08-21,0.0
2008-08-22,1.2658
2008-08-25,1.25
2008-08-26,-1.2346
2008-08-28,-2.5
2008-08-29,-4.1026
2008-09-02,1.6042999999999998
2008-09-03,1.0526
2008-09-04,0.2604
2008-09-05,0.0
2008-09-08,-3.8961
2008-09-09,-2.1622
2008-09-10,-10.221
2008-09-12,23.0769
2008-09-15,-40.0
2008-09-16,35.4167
2008-09-17,-11.3846
2008-09-18,-4.5139
2008-09-19,1.8182
2008-09-22,8.9286
2008-09-23,1.6393
2008-09-24,-3.2258
2008-09-25,0.0
2008-09-26,0.0
2008-09-29,0.0
2008-09-30,16.3333
2008-10-01,-14.0401
2008-10-02,-21.6667
2008-10-03,6.383
2008-10-06,0.0
2008-10-09,30.0
2008-10-10,7.6923
2008-10-14,-7.1429
2008-10-15,1.5385
2008-10-20,7.5758
2008-10-30,-15.493
2008-11-03,3.3333
2008-11-04,1.6129
2008-11-05,-1.5873
2008-11-06,-11.2903
2008-11-07,0.0
2008-11-10,9.0909
2008-11-11,-16.6667
2008-11-12,-20.0
2008-11-13,30.0
2008-11-14,-15.3846
2008-11-17,0.0
2008-11-18,0.0
2008-11-19,-11.3636
2008-11-20,0.5128
2008-11-21,9.1837
2008-11-25,0.0
2008-12-02,-8.8785
2008-12-03,0.0
2008-12-04,-2.5641
2008-12-05,5.2632
2008-12-08,-0.5
2008-12-10,18.0905
2008-12-15,12.766
2008-12-16,3.7736
2008-12-17,0.0
2008-12-18,7.2727
2008-12-19,-8.4746
2008-12-22,-1.8519
2008-12-23,-1.8868
2008-12-29,-3.8462
2008-12-30,40.0
2008-12-31,-7.4286
2009-01-02,-38.2716
2009-01-05,61.5
2009-01-06,-31.8885
2009-01-07,0.0
2009-01-08,27.2727
2009-01-09,-10.7143
2009-01-12,6.0
2009-01-13,-1.8868
2009-01-14,2.6923
2009-01-15,0.0
2009-01-16,4.8689
2009-01-20,-3.5714
2009-01-21,3.7037
2009-01-22,-4.6429
2009-01-23,0.0
2009-01-27,2.6217
2009-01-28,-2.1898
2009-01-29,-0.3731
2009-01-30,0.0
2009-02-02,0.0
2009-02-03,-2.6217
2009-02-04,5.3846
2009-02-06,0.0
2009-02-09,-0.365
2009-02-10,-19.0476
2009-02-11,-0.4525
2009-02-12,0.0
2009-02-13,-4.5455
2009-02-17,4.7619
