ticker,EHTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-13,63.5714
2006-10-16,-2.4017
2006-10-17,0.6711
2006-10-18,2.2222
2006-10-19,-3.2609
2006-10-20,1.8876
2006-10-23,-2.9554
2006-10-24,0.4545
2006-10-25,1.1312
2006-10-26,5.1454
2006-10-27,-2.0851
2006-10-30,-2.4337
2006-10-31,-1.4699
2006-11-01,0.5425
2006-11-02,3.9568
2006-11-03,1.8166
2006-11-06,0.0425
2006-11-07,-0.6369
2006-11-08,-3.8462
2006-11-09,0.0444
2006-11-10,3.4651
2006-11-13,0.9017
2006-11-14,10.2128
2006-11-15,4.6332
2006-11-16,-0.7749
2006-11-17,-2.3801
2006-11-20,-6.1714
2006-11-21,-7.7142
2006-11-22,-2.5077
2006-11-24,1.083
2006-11-27,-0.7143
2006-11-28,0.045
2006-11-29,2.1573
2006-11-30,-1.4078
2006-12-01,-3.3913
2006-12-04,-5.7737
2006-12-05,-0.098
2006-12-06,2.5515
2006-12-07,0.8612
2006-12-08,-0.0474
2006-12-11,0.9967
2006-12-12,-1.2688
2006-12-13,-0.6663
2006-12-14,6.1811
2006-12-15,-4.1968
2006-12-18,0.6594
2006-12-19,-0.5615
2006-12-20,1.5059
2006-12-21,-3.1062
2006-12-22,-0.9569
2006-12-26,-2.9952
2006-12-27,2.3904
2006-12-28,0.1946
2006-12-29,-2.3786
2007-01-03,0.4475
2007-01-04,6.4356
2007-01-05,-3.2558
2007-01-08,0.4808
2007-01-09,0.1914
2007-01-10,3.4384
2007-01-11,1.0157
2007-01-12,-0.3656
2007-01-16,3.1193
2007-01-17,-1.5125
2007-01-18,0.2258
2007-01-19,-0.0451
2007-01-22,6.4923
2007-01-23,1.8205
2007-01-24,-1.8711
2007-01-25,-2.7965999999999998
2007-01-26,-0.8282
2007-01-29,0.0
2007-01-30,-1.5385
2007-01-31,-1.6071
2007-02-01,-1.588
2007-02-02,0.6916
2007-02-05,-1.0073
2007-02-06,0.4625
2007-02-07,0.0921
2007-02-08,-0.276
2007-02-09,-2.1218
2007-02-12,-1.6023
2007-02-13,0.2395
2007-02-14,5.8767
2007-02-15,4.0162
2007-02-16,4.1649
2007-02-20,-0.0416
2007-02-21,2.0833
2007-02-22,0.9388
2007-02-23,1.3748
2007-02-26,0.718
2007-02-27,-2.0198
2007-02-28,1.1318
2007-03-01,0.1998
2007-03-02,-0.2393
2007-03-05,-6.0376
2007-03-06,-0.5532
2007-03-07,-0.8986
2007-03-08,0.2591
