ticker,ENV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-29,13.6667
2010-07-30,-1.6618
2010-08-02,4.3738
2010-08-03,-3.1429
2010-08-04,-1.3766
2010-08-05,0.0
2010-08-06,-1.2961
2010-08-09,3.3333
2010-08-10,-0.782
2010-08-11,-1.2315
2010-08-12,0.1496
2010-08-13,-0.3984
2010-08-16,0.0
2010-08-17,-0.8
2010-08-18,0.0
2010-08-19,2.3992
2010-08-20,-0.571
2010-08-23,-0.8911
2010-08-24,-0.0999
2010-08-25,0.8
2010-08-26,-0.5952
2010-08-27,-0.3992
2010-08-30,3.4068
2010-08-31,-0.9205
2010-09-01,0.2445
2010-09-02,0.7805
2010-09-03,1.5489000000000002
2010-09-07,8.4843
2010-09-08,0.7909
2010-09-09,-2.2668
2010-09-10,-0.9813
2010-09-13,1.0811
2010-09-14,2.2282
2010-09-15,0.3487
2010-09-16,4.6916
2010-09-17,-3.8174
2010-09-20,-0.3451
2010-09-21,-1.9912999999999998
2010-09-22,-2.2085
2010-09-23,-2.0743
2010-09-24,1.4725
2010-09-27,-4.0
2010-09-28,0.3788
2010-09-29,0.4717
2010-09-30,-1.784
2010-10-01,7.3614
2010-10-04,-1.1576
2010-10-05,5.3153
2010-10-06,2.7374
2010-10-07,2.7477
2010-10-08,1.7018
2010-10-11,2.9482
2010-10-12,0.6966
2010-10-13,6.0723
2010-10-14,0.0
2010-10-15,0.942
2010-10-18,1.2204
2010-10-19,-5.1773
2010-10-20,2.6926
2010-10-21,-3.059
2010-10-22,-3.1555
2010-10-25,-2.948
2010-10-26,2.2382
2010-10-27,3.5966
2010-10-28,-1.3585
2010-10-29,1.0712
2010-11-01,1.2869
2010-11-02,-0.9716
2010-11-03,0.0
2010-11-04,0.0
2010-11-05,-2.7925
2010-11-08,-6.7547
2010-11-09,1.249
2010-11-10,6.1678
2010-11-11,1.6266
2010-11-12,-1.2957
2010-11-15,4.1699
2010-11-16,0.5189
2010-11-17,8.4071
2010-11-18,5.7823
2010-11-19,3.8585000000000003
2010-11-22,-0.805
2010-11-23,-2.5593
2010-11-24,2.6265
2010-11-26,-3.995
2010-11-29,-2.6008
2010-11-30,-2.6035
2010-12-01,1.3023
2010-12-02,0.5413
2010-12-03,-0.6057
2010-12-06,-0.8802
2010-12-07,8.8798
2010-12-08,0.0627
2010-12-09,-1.8182
2010-12-10,-0.447
2010-12-13,-1.2187000000000001
2010-12-14,-2.4675000000000002
2010-12-15,-0.1997
2010-12-16,7.2048
