ticker,NTP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0541
2000-01-04,-2.8169
2000-01-05,0.4831
2000-01-06,0.0
2000-01-07,0.9615
2000-01-10,2.8571
2000-01-11,1.8519
2000-01-12,-0.9091
2000-01-13,3.6696999999999997
2000-01-14,0.0
2000-01-18,-0.4425
2000-01-19,-1.3333
2000-01-20,-0.9009
2000-01-21,-3.6364
2000-01-24,-0.4717
2000-01-25,2.3697
2000-01-26,-0.9259
2000-01-27,0.9346
2000-01-28,-0.9259
2000-01-31,0.9346
2000-02-01,2.7778
2000-02-02,0.0
2000-02-03,-0.9009
2000-02-04,-3.6364
2000-02-07,-0.4717
2000-02-08,2.3697
2000-02-09,1.8519
2000-02-10,-5.4545
2000-02-11,3.8462
2000-02-14,-0.463
2000-02-15,2.7907
2000-02-16,1.3575
2000-02-17,0.0
2000-02-18,-0.8929
2000-02-22,6.3063
2000-02-23,8.4746
2000-02-24,-5.8594
2000-02-25,-0.4149
2000-02-28,1.25
2000-02-29,-2.8807
2000-03-01,0.0
2000-03-02,-0.8475
2000-03-03,0.0
2000-03-06,10.2564
2000-03-07,1.5504
2000-03-08,3.8167999999999997
2000-03-09,0.7353
2000-03-10,2.5547
2000-03-13,0.0
2000-03-14,-0.3559
2000-03-15,0.7143
2000-03-16,-0.7092
2000-03-17,-2.8571
2000-03-20,-1.8382
2000-03-21,-1.8727
2000-03-22,-1.5267
2000-03-23,0.7752
2000-03-24,3.0769
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,0.5373
2000-03-30,-4.4776
2000-03-31,2.3437
2000-04-03,0.0
2000-04-04,-3.0534
2000-04-05,0.7874
2000-04-06,0.3906
2000-04-07,3.5019
2000-04-10,5.6391
2000-04-11,-0.3559
2000-04-12,-4.2857
2000-04-13,2.2388
2000-04-14,1.4599
2000-04-17,-9.7122
2000-04-18,10.757
2000-04-19,0.7194
2000-04-20,-0.7143
2000-04-24,0.0
2000-04-25,-2.1583
2000-04-26,0.7353
2000-04-27,-3.6496
2000-04-28,0.7576
2000-05-01,5.2632
2000-05-02,-0.7143
2000-05-03,-0.7194
2000-05-04,-0.3623
2000-05-05,0.3636
2000-05-08,1.087
2000-05-09,-2.1505
2000-05-10,1.0989
2000-05-11,-1.087
2000-05-12,-0.7326
2000-05-15,0.369
2000-05-16,-0.7353
2000-05-17,0.3704
2000-05-18,0.369
2000-05-19,-2.5735
2000-05-22,4.5283
2000-05-23,-1.083
2000-05-24,-0.7299
