ticker,KALU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-07,20.7439
2006-07-10,4.5024
2006-07-11,-0.2268
2006-07-12,0.5682
2006-07-13,-0.904
2006-07-14,-0.7982
2006-07-17,0.0
2006-07-18,-1.0345
2006-07-19,-0.1161
2006-07-20,0.4651
2006-07-21,-0.787
2006-07-24,3.8264
2006-07-25,-1.1236
2006-07-26,-2.2727
2006-07-27,0.0
2006-07-28,2.3023
2006-07-31,-4.5238
2006-08-01,0.0
2006-08-02,-0.7143
2006-08-03,0.7194
2006-08-04,-1.1905000000000001
2006-08-07,-0.3614
2006-08-08,-0.3628
2006-08-09,-1.0922
2006-08-10,-0.1472
2006-08-11,-1.5974
2006-08-14,-0.3497
2006-08-15,-1.0025
2006-08-16,-1.5190000000000001
2006-08-17,0.4627
2006-08-18,0.0
2006-08-21,-0.2047
2006-08-22,0.641
2006-08-23,1.5924
2006-08-24,-4.7022
2006-08-25,-0.1316
2006-08-28,-0.1318
2006-08-29,0.0
2006-08-30,0.0
2006-08-31,-0.1847
2006-09-01,-0.0793
2006-09-05,1.6931
2006-09-06,-1.1446
2006-09-07,0.0789
2006-09-08,-0.7363
2006-09-11,-0.6623
2006-09-12,0.6667
2006-09-13,0.0
2006-09-14,0.5828
2006-09-15,1.3958
2006-09-18,0.9351
2006-09-19,-0.1029
2006-09-20,-0.8758
2006-09-21,1.8191000000000002
2006-09-22,0.1787
2006-09-25,0.0
2006-09-26,0.1274
2006-09-27,2.4173
2006-09-28,3.627
2006-09-29,6.3058
2006-10-02,-0.8796
2006-10-03,-0.4323
2006-10-04,-0.5941
2006-10-05,0.6897
2006-10-06,-0.3196
2006-10-09,2.0385
2006-10-10,1.1897
2006-10-11,-0.1775
2006-10-12,0.4222
2006-10-13,0.686
2006-10-16,1.6484
2006-10-17,-0.1081
2006-10-18,0.7792
2006-10-19,0.0859
2006-10-20,-0.4292
2006-10-23,0.9483
2006-10-24,0.3416
2006-10-25,0.6383
2006-10-26,-0.1057
2006-10-27,0.0
2006-10-30,0.4233
2006-10-31,-0.4426
2006-11-01,0.9738
2006-11-02,-0.2935
2006-11-03,1.2616
2006-11-06,0.1869
2006-11-07,1.0363
2006-11-08,0.0
2006-11-09,-0.5333
2006-11-10,0.5362
2006-11-13,0.3897
2006-11-14,2.6767
2006-11-15,-1.99
2006-11-16,0.7107
2006-11-17,0.0
2006-11-20,0.0
2006-11-21,2.5202
2006-11-22,5.998
2006-11-24,1.5955
2006-11-27,-0.7487
