ticker,SBNY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-03-23,25.6129
2004-03-24,-0.1027
2004-03-25,-0.5193
2004-03-26,0.2119
2004-03-29,-0.7736
2004-03-30,1.2474
2004-03-31,7.4949
2004-04-01,2.9131
2004-04-02,-1.1601
2004-04-05,-1.6901000000000002
2004-04-06,-0.9074
2004-04-07,-0.1928
2004-04-08,-0.2849
2004-04-12,-0.4891
2004-04-13,0.9732
2004-04-14,-0.4819
2004-04-15,-3.5835
2004-04-16,4.1185
2004-04-19,0.3377
2004-04-20,-0.2885
2004-04-21,0.2893
2004-04-22,4.7596
2004-04-23,1.8816000000000002
2004-04-26,4.2523
2004-04-27,-1.4863
2004-04-28,-0.2193
2004-04-29,-0.1758
2004-04-30,3.6107
2004-05-03,2.0824
2004-05-04,-0.9992
2004-05-05,0.0421
2004-05-06,1.8495
2004-05-07,1.3207
2004-05-10,-0.2037
2004-05-11,-3.2653
2004-05-12,1.1392
2004-05-13,-3.0038
2004-05-14,2.3656
2004-05-17,0.5882
2004-05-18,0.8354
2004-05-19,4.0182
2004-05-20,-1.8319
2004-05-21,-0.6085
2004-05-24,1.4285999999999999
2004-05-25,0.6439
2004-05-26,-2.8788
2004-05-27,-0.3294
2004-05-28,3.4696
2004-06-01,3.7923999999999998
2004-06-02,3.3462
2004-06-03,-0.4466
2004-06-04,-5.1215
2004-06-07,-0.0788
2004-06-08,0.1577
2004-06-09,-0.7087
2004-06-10,-0.1586
2004-06-14,-3.892
2004-06-15,1.0331
2004-06-16,3.2720000000000002
2004-06-17,-0.8713
2004-06-18,0.04
2004-06-21,0.4792
2004-06-22,0.3577
2004-06-23,0.0
2004-06-24,-1.5842
2004-06-25,-6.0362
2004-06-28,-1.3276
2004-06-29,2.3003
2004-06-30,0.7637
2004-07-01,4.8421
2004-07-02,0.3614
2004-07-06,0.6403
2004-07-07,-0.9145
2004-07-08,-3.6116
2004-07-09,0.1665
2004-07-12,1.3716
2004-07-13,-1.6400000000000001
2004-07-14,0.2501
2004-07-15,-0.2911
2004-07-16,0.1251
2004-07-19,2.7904999999999998
2004-07-20,-1.013
2004-07-21,-0.6549
2004-07-22,-0.8653
2004-07-23,-0.0416
2004-07-26,-0.0832
2004-07-27,0.7074
2004-07-28,3.3058
2004-07-29,-1.4
2004-07-30,1.3387
2004-08-02,-2.9223
2004-08-03,0.2062
2004-08-04,-0.3704
2004-08-05,0.2478
2004-08-06,-0.2884
2004-08-09,-0.124
2004-08-10,0.9516
