ticker,BICX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-01,-1.2821
2010-09-02,-64.9351
2010-09-07,140.7407
2010-09-09,15.3846
2010-09-10,0.0
2010-09-21,0.0
2010-09-28,0.0
2010-10-04,6.6667
2010-10-07,-37.5
2010-10-08,52.0
2010-10-19,-1.3158
2010-10-22,-6.6667
2010-10-25,0.0
2010-10-29,7.1429
2010-11-01,1.3333
2010-11-02,0.0
2010-11-03,0.0
2010-11-04,0.0
2010-11-05,0.0
2010-11-10,0.0
2010-11-11,1.3158
2010-11-12,0.0
2010-11-16,0.0
2010-11-18,0.0
2010-11-19,-19.4805
2010-11-22,24.1935
2010-11-23,-1.2987
2010-11-24,1.3158
2010-11-26,0.0
2010-11-29,-1.2987
2010-11-30,-17.1053
2010-12-01,-1.5873
2010-12-02,19.3548
2010-12-03,0.0
2010-12-06,-31.0811
2010-12-08,3.9215999999999998
2010-12-09,0.0
2010-12-10,13.2075
2010-12-13,28.3333
2010-12-16,-29.8701
2010-12-17,-89.6296
2010-12-20,114.2857
2010-12-21,-11.6667
2010-12-22,55.6604
2010-12-23,-9.0909
2010-12-27,-13.3333
2010-12-28,-23.0769
2010-12-29,10.0
2010-12-30,-4.5455
2010-12-31,41.9048
2011-01-03,7.3826
2011-01-04,-12.5
2011-01-05,13.5714
2011-01-06,12.5786
2011-01-07,-7.8212
2011-01-10,-9.0909
2011-01-11,33.3333
2011-01-12,40.0
2011-01-13,10.7143
2011-01-14,3.2258
2011-01-18,9.375
2011-01-19,-11.4286
2011-01-20,3.2258
2011-01-21,-9.375
2011-01-24,-6.8966
2011-01-25,-7.4074
2011-01-26,12.0
2011-01-27,10.7143
2011-01-28,3.2258
2011-01-31,-4.6875
2011-02-01,-8.1967
2011-02-02,4.4643
2011-02-03,-11.1111
2011-02-04,7.6923
2011-02-07,-10.7143
2011-02-08,-2.0
2011-02-09,-4.0816
2011-02-10,-12.766
2011-02-11,-2.439
2011-02-14,14.5
2011-02-15,-3.9301
2011-02-16,27.2727
2011-02-17,3.5714
2011-02-18,10.3448
2011-02-22,9.375
2011-02-23,-17.1429
2011-02-24,3.4483
2011-02-25,-3.3333
2011-02-28,-13.7931
2011-03-01,-20.0
2011-03-02,4.5
2011-03-03,-4.3062000000000005
2011-03-04,15.0
2011-03-07,-8.6957
2011-03-08,-2.3810000000000002
2011-03-09,-2.439
2011-03-10,15.0
2011-03-11,-13.0435
2011-03-14,0.0
2011-03-15,0.0
2011-03-16,-7.5
