ticker,GAPJ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-05,50.0
2005-05-09,93.3333
2005-05-10,17.2414
2005-05-11,29.4118
2005-05-12,11.3636
2005-05-13,12.2449
2005-05-16,7.2727
2005-05-17,27.1186
2005-05-18,5.3333
2005-05-19,17.0886
2005-05-20,11.3514
2005-05-23,13.5922
2005-05-24,1.7094
2005-05-25,0.8403
2005-05-26,2.5
2005-05-27,4.065
2005-05-31,-0.7813
2005-06-01,25.9843
2005-06-02,18.75
2005-06-03,21.0526
2005-06-06,-1.3043
2005-06-07,36.5639
2005-06-08,12.9032
2005-06-09,4.2857
2005-06-10,-8.7671
2005-06-13,11.1111
2005-06-14,0.0
2005-06-15,-73.2432
2005-06-16,-29.2929
2005-06-17,214.2857
2005-06-20,-9.0909
2005-06-21,-10.0
2005-06-22,16.6667
2005-06-23,-42.8571
2005-06-24,83.3333
2005-06-27,22.7273
2005-06-28,0.7407
2005-06-29,13.9706
2005-06-30,-16.129
2005-07-01,26.9231
2005-07-05,-15.1515
2005-07-06,-28.5714
2005-07-07,-10.0
2005-07-08,-21.1111
2005-07-11,-8.4507
2005-07-12,4.6154
2005-07-13,10.2941
2005-07-14,-33.3333
2005-07-18,46.0
2005-07-19,-4.1096
2005-07-20,14.2857
2005-07-21,18.75
2005-07-22,4.2105
2005-07-25,-9.596
2005-07-26,5.0279
2005-07-27,1.0638
2005-07-28,-4.2105
2005-07-29,-13.1868
2005-08-01,-30.3797
2005-08-02,18.1818
2005-08-03,15.3846
2005-08-04,-16.0
2005-08-05,-1.5873
2005-08-08,-9.6774
2005-08-09,3.5714
2005-08-10,-13.7931
2005-08-11,0.0
2005-08-12,-20.0
2005-08-15,10.0
2005-08-16,-38.6364
2005-08-17,44.4444
2005-08-18,-10.2564
2005-08-19,-34.2857
2005-08-22,8.6957
2005-08-24,12.0
2005-08-25,-21.4286
2005-08-29,27.2727
2005-08-30,0.0
2005-08-31,-28.5714
2005-09-01,15.0
2005-09-02,-86.9565
2005-09-06,-33.3333
2005-09-07,-20.0
2005-09-08,12.5
2005-09-09,11.1111
2005-09-13,-1.0
2005-09-16,-14.1414
2005-09-20,-17.647100000000002
2005-09-21,-28.5714
2005-09-23,4.0
2005-09-27,-3.8462
2005-09-28,90.0
2005-09-30,-45.2632
2005-10-03,107.6923
2005-10-04,-53.7037
2005-10-06,50.0
2005-10-07,-25.3333
2005-10-11,0.0
2005-10-12,25.0
2005-10-13,-14.2857
2005-10-17,-5.0
