ticker,LUDG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-08,-20.0
2008-04-09,0.0
2008-04-10,6.25
2008-04-14,5.8824
2008-04-15,11.1111
2008-04-16,10.0
2008-04-17,4.5455
2008-04-18,-13.0435
2008-04-21,10.0
2008-04-23,-22.7273
2008-04-25,0.0
2008-04-28,0.0
2008-04-29,0.0
2008-05-01,11.7647
2008-05-02,5.2632
2008-05-05,0.0
2008-05-06,-25.0
2008-05-07,60.0
2008-05-08,8.3333
2008-05-09,-7.6923
2008-05-12,2.0833
2008-05-13,-10.2041
2008-05-14,0.0
2008-05-15,-9.0909
2008-05-22,0.0
2008-05-28,-50.0
2008-05-29,90.0
2008-06-02,-47.3684
2008-06-03,-50.0
2008-06-04,100.0
2008-06-11,0.0
2008-06-17,0.0
2008-06-19,-40.0
2008-06-20,16.6667
2008-06-24,-14.2857
2008-06-30,0.0
2008-07-10,-33.3333
2008-07-11,0.0
2008-07-15,-25.0
2008-07-16,0.0
2008-07-17,50.0
2008-07-18,0.0
2008-07-22,-22.2222
2008-07-28,-14.2857
2008-08-01,-33.3333
2008-08-08,25.0
2008-08-11,0.0
2008-08-12,-12.0
2008-08-13,-9.0909
2008-08-14,-5.0
2008-08-18,157.8947
2008-08-19,0.0
2008-08-22,20.4082
2008-08-25,-32.2034
2008-09-09,25.0
2008-09-10,0.0
2008-09-23,-20.25
2008-09-30,-12.2257
2008-10-15,-57.1429
2008-10-16,33.3333
2008-10-20,45.0
2008-12-15,-82.7586
2009-01-14,1080.0
2009-01-29,-83.0508
2009-01-30,100.0
2009-02-02,-97.5
2009-02-23,5900.0
2009-03-31,-97.9167
2009-04-30,-80.0
2009-12-17,-98.5
2009-12-18,0.0
2009-12-22,0.0
2010-02-19,15900.0
2010-04-12,666.6667
2010-04-13,4.3478
2010-04-14,-4.1667
2010-05-03,8.6957
2010-05-06,20.0
2010-05-07,-3.3333
2010-05-13,-10.3448
2010-05-18,15.3846
2010-05-19,-13.3333
2010-05-20,-3.8462
2010-05-24,-60.0
2010-05-25,20.0
2010-05-26,77.9167
2010-05-27,12.4122
2010-05-28,0.0
2010-06-01,-12.5
2010-06-02,-42.8571
2010-06-04,66.6667
2010-06-08,-30.0
2010-06-09,0.0
2010-06-10,-14.2857
2010-06-11,8.3333
2010-06-15,92.3077
2010-06-16,-40.0
2010-06-17,0.0
2010-06-22,13.3333
2010-06-23,76.4706
2010-06-24,0.0
2010-06-25,3.3333
2010-06-28,6.4516
2010-06-29,3.0303
