ticker,MATN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0
2000-01-04,-7.5
2000-01-05,-3.6036
2000-01-06,2.3364
2000-01-07,3.1963
2000-01-10,4.4248
2000-01-11,-2.5423999999999998
2000-01-12,-1.7391
2000-01-13,4.8673
2000-01-14,15.6118
2000-01-18,5.1095
2000-01-19,-2.7778
2000-01-20,-2.1429
2000-01-21,3.6496
2000-01-24,4.2254
2000-01-25,4.0541
2000-01-26,1.9481000000000002
2000-01-27,-0.6369
2000-01-28,-5.1282
2000-01-31,-7.0946
2000-02-01,-0.3636
2000-02-02,-1.4599
2000-02-03,0.7407
2000-02-04,-0.7353
2000-02-07,-0.7407
2000-02-08,2.9851
2000-02-09,4.3478
2000-02-10,30.5556
2000-02-11,-10.6383
2000-02-14,8.3333
2000-02-15,-2.7473
2000-02-16,-5.0847
2000-02-17,-0.5952
2000-02-18,5.3892
2000-02-22,0.0
2000-02-23,-1.7045
2000-02-24,-6.9364
2000-02-25,4.9689
2000-02-28,-2.9586
2000-02-29,13.7195
2000-03-01,-0.2681
2000-03-02,-1.3441
2000-03-03,-4.0872
2000-03-06,2.2727
2000-03-07,15.5556
2000-03-08,-6.9712
2000-03-09,2.3256
2000-03-10,-5.0505
2000-03-13,-5.3191
2000-03-14,4.4944
2000-03-15,-11.828
2000-03-16,6.7073
2000-03-17,-4.5714
2000-03-20,-2.9939999999999998
2000-03-21,1.8519
2000-03-22,12.1212
2000-03-23,-7.027
2000-03-24,3.7791
2000-03-27,2.8011
2000-03-28,1.3624
2000-03-29,-2.957
2000-03-30,-8.8643
2000-03-31,2.7356
2000-04-03,-2.9586
2000-04-04,-4.878
2000-04-05,6.7308
2000-04-06,0.9009
2000-04-07,-7.1429
2000-04-10,2.5641
2000-04-11,-0.625
2000-04-12,-2.8302
2000-04-13,-2.2654
2000-04-14,-13.245
2000-04-17,-16.7939
2000-04-18,2.7523
2000-04-19,4.9107
2000-04-20,-4.6809
2000-04-24,1.7856999999999998
2000-04-25,-0.8772
2000-04-26,-1.3274
2000-04-27,-0.4484
2000-04-28,0.4505
2000-05-01,3.1390000000000002
2000-05-02,-0.8696
2000-05-03,1.7544
2000-05-04,-1.7241
2000-05-05,-1.7544
2000-05-08,-2.6786
2000-05-09,0.0
2000-05-10,-1.8349
2000-05-11,1.4019
2000-05-12,-2.3041
2000-05-15,-0.4717
2000-05-16,-1.4218
2000-05-17,-3.3654
2000-05-18,9.4527
2000-05-19,-4.5455
