ticker,TBIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-28,-11.3846
2018-06-29,9.809
2018-07-02,2.7668
2018-07-03,-0.6154
2018-07-05,1.935
2018-07-06,0.6074
2018-07-09,0.3774
2018-07-10,-2.1805
2018-07-11,-0.0769
2018-07-12,0.0
2018-07-13,-1.1538
2018-07-16,1.1673
2018-07-17,0.0769
2018-07-18,8.3782
2018-07-19,4.1135
2018-07-20,8.5831
2018-07-23,-0.2509
2018-07-24,-3.3962
2018-07-25,1.3672
2018-07-26,-7.6429
2018-07-27,0.1391
2018-07-30,-15.2083
2018-07-31,-9.828
2018-08-01,4.178
2018-08-02,-3.6616999999999997
2018-08-03,-0.362
2018-08-06,-12.1708
2018-08-07,7.8594
2018-08-08,0.6711
2018-08-09,-2.7619
2018-08-10,2.3506
2018-08-13,-1.9139
2018-08-14,2.9268
2018-08-15,11.1848
2018-08-16,-9.6334
2018-08-17,-1.1320999999999999
2018-08-20,0.1908
2018-08-21,-0.0952
2018-08-22,1.5253
2018-08-23,1.4085
2018-08-24,0.5556
2018-08-27,-1.105
2018-08-28,-0.3724
2018-08-29,1.8692
2018-08-30,-0.7339
2018-08-31,-1.9409
2018-09-04,-2.5448
2018-09-05,6.8665
2018-09-06,0.362
2018-09-07,4.3282
2018-09-10,-0.2593
2018-09-11,-1.8197999999999999
2018-09-12,-1.0591
2018-09-13,-2.7654
2018-09-14,-2.2018
2018-09-17,-1.2195
2018-09-18,-1.7094
2018-09-19,-0.0966
2018-09-20,0.1934
2018-09-21,-3.5714
2018-09-24,-0.6006
2018-09-25,0.0
2018-09-26,-0.3021
2018-09-27,0.5051
2018-09-28,0.5025
2018-10-01,-0.5
2018-10-02,-0.402
2018-10-03,-0.5045
2018-10-04,-7.0994
2018-10-05,-4.3668
2018-10-08,0.9132
2018-10-09,-3.1673999999999998
2018-10-10,-6.5421
2018-10-11,-3.75
2018-10-12,-3.1169000000000002
2018-10-15,-4.1555
2018-10-16,-0.2797
2018-10-17,-3.5063
2018-10-18,1.1628
2018-10-19,-16.3793
2018-10-22,-1.3746
2018-10-23,-4.878
2018-10-24,-5.4945
2018-10-25,10.0775
2018-10-26,-2.4648
2018-10-29,-2.7076000000000002
2018-10-30,1.8553
2018-10-31,2.5501
2018-11-01,3.9076
2018-11-02,1.3675
2018-11-05,10.118
2018-11-06,0.9188
2018-11-07,2.4279
2018-11-08,0.5926
2018-11-09,-4.271
2018-11-12,-7.8462
2018-11-13,5.0083
