ticker,NVES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-12,0.0
2007-12-17,-0.9901
2007-12-20,0.0
2008-01-02,0.0
2008-01-15,0.0
2008-01-18,0.0
2008-02-11,10.0
2008-02-12,0.0
2008-02-15,-8.1818
2008-02-20,7.9208
2008-03-06,1.8349
2008-03-12,0.9009
2008-03-13,5.9096
2008-03-14,2.0075
2008-03-17,4.9587
2008-03-18,-1.5748
2008-03-19,2.4
2008-03-20,0.3906
2008-03-25,1.1673
2008-03-26,0.0
2008-03-27,0.7692
2008-03-31,-0.229
2008-04-04,1.7598
2008-04-07,0.7519
2008-04-15,4.4776
2008-04-18,4.2857
2008-04-29,4.1096
2008-05-02,3.9474
2008-05-07,-0.6329
2008-05-09,1.9108
2008-05-15,5.0
2008-05-16,2.3810000000000002
2008-05-30,7.5581
2008-06-05,-9.1892
2008-06-10,6.5476
2008-06-12,0.5587
2008-06-13,0.0
2008-06-19,11.1111
2008-06-27,-5.3063
2008-07-03,7.7157
2008-07-07,0.4902
2008-07-09,0.0
2008-07-15,2.439
2008-07-16,0.0
2008-07-17,-4.7619
2008-07-18,0.0
2008-07-22,-25.0
2008-07-23,-32.6667
2008-07-24,43.5644
2008-07-25,8.9655
2008-07-30,-5.0633
2008-08-12,-6.6667
2008-08-14,-10.7143
2008-08-22,-9.6
2008-08-27,-13.2743
2008-08-29,12.2449
2008-09-02,0.0
2008-09-03,4.5455
2008-09-05,-1.7391
2008-09-10,0.0
2008-09-11,4.4248
2008-09-12,-2.5423999999999998
2008-09-16,-1.7391
2008-09-19,1.7699
2008-09-26,0.0
2008-10-08,-14.7826
2008-10-10,7.1429
2008-10-13,-6.6667
2008-10-21,-8.1633
2008-10-22,8.8889
2008-10-23,-8.1633
2008-10-24,-5.5556
2008-10-31,23.5294
2008-11-07,-51.4286
2008-11-10,76.4706
2008-11-11,-43.3333
2008-11-12,13.9216
2008-12-12,17.3838
2008-12-15,3.3724
2008-12-16,20.5674
2008-12-17,0.0
2008-12-18,0.0
2008-12-19,-11.7647
2008-12-22,0.0
2008-12-23,13.3333
2009-01-07,-17.647100000000002
2009-01-08,-7.1429
2009-01-09,-20.0
2009-01-12,15.3846
2009-01-14,-8.3333
2009-01-26,0.0
2009-01-29,-18.1818
2009-02-04,-11.1111
2009-02-09,-25.0
2009-02-13,33.3333
2009-02-17,-37.5
2009-02-18,32.0
2009-02-20,0.0
2009-02-23,-24.2424
2009-02-24,98.0
2009-02-25,-8.8889
