ticker,IDYA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-23,11.9
2019-05-24,0.5362
2019-05-28,1.2444
2019-05-29,4.9166
2019-05-30,-3.431
2019-05-31,2.8596
2019-06-03,-2.2746
2019-06-04,2.2414
2019-06-05,-1.3491
2019-06-06,-1.8803
2019-06-07,-8.3624
2019-06-10,2.2814
2019-06-11,3.3457
2019-06-12,-2.9676
2019-06-13,-1.2974999999999999
2019-06-14,1.5962
2019-06-17,0.9242
2019-06-18,-0.1832
2019-06-19,-1.4679
2019-06-20,-2.5140000000000002
2019-06-21,-8.5005
2019-06-24,4.071
2019-06-25,-1.003
2019-06-26,-0.6079
2019-06-27,2.5484
2019-06-28,-0.994
2019-07-01,-3.6145
2019-07-02,-5.2083
2019-07-03,-5.2747
2019-07-05,-7.0766
2019-07-08,1.7478
2019-07-09,-3.3129
2019-07-10,-1.3959
2019-07-11,3.4749
2019-07-12,6.9652
2019-07-15,-3.6047000000000002
2019-07-16,-3.2569
2019-07-17,-0.6234
2019-07-18,-1.7566000000000002
2019-07-19,0.0
2019-07-22,-7.9183
2019-07-23,-5.4092
2019-07-24,-0.2933
2019-07-25,-1.1764999999999999
2019-07-26,0.744
2019-07-29,5.1699
2019-07-30,-3.0899
2019-07-31,3.0435
2019-08-01,-0.5626
2019-08-02,-3.6775
2019-08-05,-1.6153
2019-08-06,2.2388
2019-08-07,-1.6058
2019-08-08,0.4451
2019-08-09,0.1477
2019-08-12,2.5074
2019-08-13,3.4532
2019-08-14,-2.3644
2019-08-15,-0.2849
2019-08-16,-4.5714
2019-08-19,-0.5988
2019-08-20,-0.3012
2019-08-21,-1.3595
2019-08-22,-3.3691
2019-08-23,0.7924
2019-08-26,-2.5157
2019-08-27,0.8065
2019-08-28,-3.04
2019-08-29,10.396
2019-08-30,1.6442
2019-09-03,-4.8529
2019-09-04,4.3277
2019-09-05,2.5185
2019-09-06,-0.1445
2019-09-09,2.7496
2019-09-10,9.8592
2019-09-11,3.9744
2019-09-12,-1.7263
2019-09-13,-2.2585
2019-09-16,25.6739
2019-09-17,-2.4515000000000002
2019-09-18,14.2408
2019-09-19,-7.0577
2019-09-20,-11.0454
2019-09-23,1.1086
2019-09-24,0.3289
2019-09-25,-3.7157999999999998
2019-09-26,10.1022
2019-09-27,-5.4639
2019-09-30,-1.8538999999999999
2019-10-01,0.8889
2019-10-02,-13.5463
2019-10-03,-1.9108
2019-10-04,1.4285999999999999
2019-10-07,-3.8411999999999997
2019-10-08,-1.0652
