ticker,SRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-07,1.6981000000000002
2015-07-08,-1.4047
2015-07-09,0.3226
2015-07-10,0.4823
2015-07-13,-0.16
2015-07-14,-0.0267
2015-07-15,0.7213
2015-07-16,0.6897
2015-07-17,4.0569
2015-07-20,1.5190000000000001
2015-07-21,0.6983
2015-07-22,-1.1887
2015-07-23,-0.6266
2015-07-24,-0.6305
2015-07-27,-1.6497000000000002
2015-07-28,-0.5161
2015-07-29,-0.441
2015-07-30,1.1464
2015-07-31,-0.6698
2015-08-03,-3.4751
2015-08-04,-0.6717
2015-08-05,0.2164
2015-08-06,0.135
2015-08-07,1.4016
2015-08-10,3.5088
2015-08-11,1.6949
2015-08-12,-0.4798
2015-08-13,1.4717
2015-08-14,1.9005
2015-08-17,4.5153
2015-08-18,0.9627
2015-08-19,2.3256
2015-08-20,-2.7727
2015-08-21,-2.1038
2015-08-24,-4.7994
2015-08-25,-0.0251
2015-08-26,-0.3763
2015-08-27,-0.1763
2015-08-28,-0.227
2015-08-31,0.354
2015-09-01,-1.2346
2015-09-02,0.0765
2015-09-03,0.8157
2015-09-04,0.885
2015-09-08,3.7093
2015-09-09,0.3142
2015-09-10,2.5536
2015-09-11,-1.1745
2015-09-14,-1.236
2015-09-15,-0.1444
2015-09-16,-0.1205
2015-09-17,0.1689
2015-09-18,-0.5541
2015-09-21,2.2045
2015-09-22,-2.5836
2015-09-23,-0.6813
2015-09-24,-1.7638
2015-09-25,1.8204
2015-09-28,-5.6576
2015-09-29,-1.1682
2015-09-30,-2.1539
2015-10-01,3.4899
2015-10-02,0.1816
2015-10-05,-0.233
2015-10-06,-0.4412
2015-10-07,0.8863
2015-10-08,1.3437000000000001
2015-10-09,-0.1785
2015-10-12,1.4559
2015-10-13,-1.9134
2015-10-14,-0.8214
2015-10-15,2.8727
2015-10-16,-0.805
2015-10-19,-0.7355
2015-10-20,1.5585
2015-10-21,0.6289
2015-10-22,0.625
2015-10-23,-0.2236
2015-10-26,1.4691
2015-10-27,0.5153
2015-10-28,1.1963
2015-10-29,1.0856
2015-10-30,0.5489
2015-11-02,0.8545
2015-11-03,0.0235
2015-11-04,-1.6705999999999999
2015-11-05,-1.6511
2015-11-06,-5.2798
2015-11-09,-2.9026
2015-11-10,-0.0794
2015-11-11,-0.1324
2015-11-12,-2.1209
2015-11-13,-3.0878
2015-11-16,-1.0341
2015-11-17,-1.1579
2015-11-18,-2.3714
2015-11-19,0.9658
2015-11-20,-1.913
