ticker,SPLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-20,-1.5873
2011-04-25,3.2258
2011-05-11,0.0
2011-05-24,0.0625
2011-05-31,1.4990999999999999
2011-06-01,-1.5385
2011-06-03,3.125
2011-06-10,0.0
2011-06-13,-1.4545
2011-06-15,-1.599
2011-06-16,3.125
2011-06-17,1.5152
2011-06-21,-1.4925
2011-06-22,0.6061
2011-06-23,0.3012
2011-06-28,0.6006
2011-06-29,0.0
2011-07-01,0.0
2011-07-12,0.0
2011-07-15,0.0
2011-07-19,0.0
2011-08-02,0.0
2011-08-04,-1.4925
2011-08-10,-0.6061
2011-08-12,-2.439
2011-08-17,0.0
2011-08-19,-3.125
2011-08-23,0.0
2011-08-24,0.0
2011-08-29,-2.9032
2011-08-30,2.8571
2011-09-02,-1.8088
2011-09-09,-0.8553
2011-09-13,-3.1188
2011-09-15,1.0274
2011-09-16,0.678
2011-09-27,0.0
2011-09-29,-0.6734
2011-10-05,0.2034
2011-10-10,-4.9391
2011-10-17,-0.7117
2011-10-18,-0.3584
2011-10-20,0.0
2011-10-21,0.0
2011-10-24,0.0
2011-10-25,-0.3597
2011-10-26,-0.2888
2011-10-27,-0.0724
2011-10-28,0.0
2011-10-31,0.0
2011-11-08,-0.3623
2011-11-09,0.3636
2011-11-11,0.0
2011-11-14,0.0
2011-12-01,0.0
2011-12-02,-2.1739
2011-12-08,-5.5556
2011-12-14,-5.4902
2011-12-15,-4.5643
2011-12-19,4.3478
2011-12-20,-1.6667
2011-12-28,1.6949
2011-12-29,0.25
2011-12-30,0.1663
2012-01-04,1.7427000000000001
2012-01-10,1.9576
2012-01-12,-1.2
2012-01-13,0.0
2012-01-18,0.0
2012-01-27,0.0
2012-02-02,0.2429
2012-02-03,3.3926
2012-02-06,-6.25
2012-02-07,4.1667
2012-02-08,1.6
2012-02-09,0.0
2012-02-13,0.0
2012-02-16,0.3937
2012-02-17,-0.0784
2012-02-21,-0.157
2012-02-22,-1.7296
2012-02-23,-2.56
2012-02-28,2.6273
2012-02-29,0.8
2012-03-01,-0.2381
2012-03-02,0.0
2012-03-06,0.0
2012-03-08,-0.5569
2012-03-12,-0.8
2012-03-13,0.0
2012-03-14,-0.8065
2012-03-15,0.2439
2012-03-16,-0.2433
2012-03-19,-0.8943
2012-03-20,-1.5587
2012-03-21,0.0
2012-03-22,-2.0833
2012-03-23,2.1277
2012-03-27,-0.8333
2012-03-28,-0.3361
2012-03-29,-0.9275
2012-03-30,1.2766
