ticker,JRIV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-02,0.0
2013-05-31,-6.0606
2013-06-07,0.0
2013-07-09,0.0
2013-09-20,-3.2258
2013-10-16,0.0
2013-10-23,0.0
2013-12-12,0.0
2014-09-23,-80.0
2014-10-30,1.6667
2014-10-31,63.9344
2015-01-16,-90.0
2015-01-22,2000.0
2015-01-29,19.0476
2015-03-05,-91.6
2015-05-28,280.9524
2015-06-30,-75.0
2016-03-04,0.0
2016-11-25,0.0
2017-02-28,100.0
2017-04-27,-38.4375
2018-04-02,21.8274
2018-09-04,3.3333
2018-09-19,-19.3548
2018-10-30,-20.0
2019-06-06,-25.0
2020-04-30,33.3333
2020-05-04,150.0
2020-05-08,0.0
