ticker,EVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-29,7.5
2015-04-30,-1.4419
2015-05-01,0.991
2015-05-04,-0.6542
2015-05-05,0.4233
2015-05-06,-0.8899
2015-05-07,0.1418
2015-05-08,2.6428000000000003
2015-05-11,-0.4598
2015-05-12,-2.1709
2015-05-13,-0.7082
2015-05-14,-0.8559
2015-05-15,0.7674
2015-05-18,-3.189
2015-05-19,1.1308
2015-05-20,-2.2849
2015-05-21,2.8358
2015-05-22,2.0803
2015-05-26,-0.6635
2015-05-27,-0.334
2015-05-28,-2.6807
2015-05-29,0.1476
2015-06-01,0.442
2015-06-02,-1.7115
2015-06-03,0.7463
2015-06-04,-4.8889
2015-06-05,2.9076
2015-06-08,0.4036
2015-06-09,-0.5025
2015-06-10,0.7071
2015-06-11,-4.4132
2015-06-12,-0.1574
2015-06-15,0.6831
2015-06-16,-1.357
2015-06-17,1.6931
2015-06-18,1.717
2015-06-19,0.0512
2015-06-22,-3.3742
2015-06-23,-2.3810000000000002
2015-06-24,1.5718
2015-06-25,-3.7353
2015-06-26,0.5543
2015-06-29,-0.5513
2015-06-30,0.2772
2015-07-01,0.8845
2015-07-02,1.4795
2015-07-06,-1.3498999999999999
2015-07-07,-0.1095
2015-07-08,-7.2877
2015-07-09,0.0591
2015-07-10,-1.7128999999999999
2015-07-13,0.5409
2015-07-14,1.3748
2015-07-15,-0.1769
2015-07-16,-0.2363
2015-07-17,-1.2433
2015-07-20,-0.7794
2015-07-21,-2.4773
2015-07-22,-0.9913
2015-07-23,0.0626
2015-07-24,-1.9386999999999999
2015-07-27,-0.9566
2015-07-28,-2.0605
2015-07-29,-1.7094
2015-07-30,-0.0669
2015-07-31,3.4137
2015-08-03,5.4369
2015-08-04,-2.5783
2015-08-05,-0.3151
2015-08-06,-2.0228
2015-08-07,-2.1935000000000002
2015-08-10,0.3298
2015-08-11,-2.2354
2015-08-12,2.0385
2015-08-13,0.2674
2015-08-14,1.0702
2015-08-17,-0.2647
2015-08-18,-3.1188
2015-08-19,-1.7808000000000002
2015-08-20,-1.2551999999999999
2015-08-21,-0.8475
2015-08-24,-3.9173999999999998
2015-08-25,-3.2617
2015-08-26,-5.5939
2015-08-27,1.3799000000000001
2015-08-28,0.1601
2015-08-31,4.3165
2015-09-01,-0.6897
2015-09-02,-0.463
2015-09-03,-0.9302
2015-09-04,-0.7825
2015-09-08,1.2618
2015-09-09,-2.0249
2015-09-10,-0.8744
2015-09-11,-0.3208
