ticker,CHWY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-14,59.0455
2019-06-17,-3.6868
2019-06-18,10.8605
2019-06-19,-6.5846
2019-06-20,-1.9198
2019-06-21,-5.6968
2019-06-24,-2.3234
2019-06-25,0.8563
2019-06-26,1.7925
2019-06-27,2.9039
2019-06-28,5.0736
2019-07-01,-3.8571
2019-07-02,-1.9019
2019-07-03,2.4538
2019-07-05,1.3306
2019-07-08,0.3793
2019-07-09,-3.2267
2019-07-10,-0.2403
2019-07-11,0.5119
2019-07-12,1.7376
2019-07-15,-2.5618
2019-07-16,-0.8462
2019-07-17,-3.505
2019-07-18,3.7587
2019-07-19,-6.5753
2019-07-22,-1.564
2019-07-23,-1.9861
2019-07-24,10.4357
2019-07-25,3.211
2019-07-26,-3.8519
2019-07-29,5.2696
2019-07-30,0.7904
2019-07-31,-2.5269
2019-08-01,0.0596
2019-08-02,-3.0077
2019-08-05,-1.1053
2019-08-06,1.2729
2019-08-07,-0.889
2019-08-08,5.0108
2019-08-09,-0.5891
2019-08-12,-0.0889
2019-08-13,-2.2242
2019-08-14,-3.4274
2019-08-15,-3.0779
2019-08-16,0.2592
2019-08-19,2.0362
2019-08-20,1.7422
2019-08-21,-1.9303
2019-08-22,-1.873
2019-08-23,-3.6558
2019-08-26,4.0967
2019-08-27,-0.7419
2019-08-28,-1.2025000000000001
2019-08-29,4.2763
2019-08-30,4.1009
2019-09-03,0.8788
2019-09-04,3.094
2019-09-05,-0.9324
2019-09-06,-3.5587999999999997
2019-09-09,1.9823
2019-09-10,-8.9713
2019-09-11,-0.5256
2019-09-12,-2.5429
2019-09-13,-0.1017
2019-09-16,3.2225
2019-09-17,-0.5915
2019-09-18,-6.1488
2019-09-19,-3.3815
2019-09-20,-3.7915
2019-09-23,4.2061
2019-09-24,-5.3455
2019-09-25,3.9186
2019-09-26,-2.8466
2019-09-27,-1.0274
2019-09-30,-5.4979
2019-10-01,-5.8177
2019-10-02,3.8877
2019-10-03,1.5385
2019-10-04,5.8968
2019-10-07,3.3256
2019-10-08,-1.9087
2019-10-09,-3.1286
2019-10-10,0.0
2019-10-11,2.5601000000000003
2019-10-14,-0.9985
2019-10-15,3.9177999999999997
2019-10-16,-1.1198
2019-10-17,0.9438
2019-10-18,1.1593
2019-10-21,2.9945
2019-10-22,0.7179
2019-10-23,-4.526
2019-10-24,-0.224
2019-10-25,3.9656000000000002
2019-10-28,-1.9431
2019-10-29,-5.4312000000000005
2019-10-30,-1.4746000000000001
