ticker,ACMR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-03,8.0357
2017-11-06,-7.438
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,0.0179
2017-11-10,2.1246
2017-11-13,4.3706
2017-11-14,0.0
2017-11-15,4.5226
2017-11-16,4.4872
2017-11-17,5.6748
2017-11-20,6.5312
2017-11-21,1.0899
2017-11-22,-6.3342
2017-11-24,-1.1511
2017-11-27,0.4367
2017-11-28,-1.4493
2017-11-29,-0.2941
2017-11-30,-0.4425
2017-12-01,0.5926
2017-12-04,-4.8601
2017-12-05,-7.4303
2017-12-06,-1.505
2017-12-07,0.1698
2017-12-08,2.5423999999999998
2017-12-11,-1.4876
2017-12-12,-2.0134
2017-12-13,-5.3082
2017-12-14,0.1808
2017-12-15,-9.7473
2017-12-18,2.8
2017-12-19,-2.3346
2017-12-20,-3.9840999999999998
2017-12-21,7.0539
2017-12-22,-4.0698
2017-12-26,1.2121
2017-12-27,-1.7964
2017-12-28,2.6423
2017-12-29,3.9604
2018-01-02,7.0476
2018-01-03,-5.694
2018-01-04,0.283
2018-01-05,3.6689
2018-01-08,-4.9002
2018-01-09,0.0
2018-01-10,-0.9542
2018-01-11,0.9634
2018-01-12,-1.3359
2018-01-16,-4.4487
2018-01-17,1.2146
2018-01-18,-0.8
2018-01-19,0.6048
2018-01-22,-4.8096
2018-01-23,19.1579
2018-01-24,-4.0654
2018-01-25,-2.2081
2018-01-26,-0.1883
2018-01-29,2.6414999999999997
2018-01-30,-6.0662
2018-01-31,5.0881
2018-02-01,11.7318
2018-02-02,1.8333
2018-02-05,10.4746
2018-02-06,1.1852
2018-02-07,-0.7321
2018-02-08,-5.0147
2018-02-09,0.9317
2018-02-12,1.2338
2018-02-13,-0.9149
2018-02-14,-4.2945
2018-02-15,2.7244
2018-02-16,1.092
2018-02-20,1.2346
2018-02-21,4.4207
2018-02-22,2.3372
2018-02-23,2.1383
2018-02-26,-2.3743
2018-02-27,1.4306
2018-02-28,-4.0903
2018-03-01,-1.1764999999999999
2018-03-02,7.7381
2018-03-05,8.4945
2018-03-06,40.0382
2018-03-07,9.0
2018-03-08,12.2602
2018-03-09,-2.4516999999999998
2018-03-12,4.3412
2018-03-13,3.9416
2018-03-14,4.9157
2018-03-15,-6.091
2018-03-16,-11.3329
2018-03-19,-8.119
2018-03-20,15.2231
2018-03-21,-6.9856
2018-03-22,2.0408
2018-03-23,3.2800000000000002
2018-03-26,-1.007
2018-03-27,0.8607
2018-03-28,-3.9566
