ticker,SP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-27,8.6957
2004-05-28,0.4
2004-06-01,-0.6375
2004-06-02,4.9719
2004-06-03,-0.9167
2004-06-04,-0.1542
2004-06-07,-1.2355
2004-06-08,3.0493
2004-06-09,0.1517
2004-06-10,-1.5152
2004-06-14,0.0
2004-06-15,-6.1615
2004-06-16,-0.4017
2004-06-17,-1.2346
2004-06-18,-0.1667
2004-06-21,5.5927
2004-06-22,-3.1621
2004-06-23,-0.6531
2004-06-24,-1.3969
2004-06-25,4.5833
2004-06-28,0.1594
2004-06-29,-0.9547
2004-06-30,2.4096
2004-07-01,-1.1764999999999999
2004-07-02,2.0635
2004-07-06,-0.1555
2004-07-07,-0.0779
2004-07-08,-0.6235
2004-07-09,-1.098
2004-07-12,0.793
2004-07-13,-0.7868
2004-07-14,0.7137
2004-07-15,-0.7874
2004-07-16,1.3492
2004-07-19,-1.4879
2004-07-20,3.3386
2004-07-22,-0.5385
2004-07-23,0.3094
2004-07-26,-0.9252
2004-07-27,-1.4008
2004-07-28,1.4207
2004-07-29,0.0
2004-07-30,-1.2451
2004-08-02,0.788
2004-08-03,-0.7037
2004-08-04,0.0
2004-08-05,0.0
2004-08-06,0.3937
2004-08-09,-2.7451
2004-08-10,0.0
2004-08-11,-0.8065
2004-08-12,3.252
2004-08-13,-0.874
2004-08-16,-1.263
2004-08-17,0.9654
2004-08-18,-0.239
2004-08-19,1.5974
2004-08-23,2.4371
2004-08-24,2.0721
2004-08-25,-0.7519
2004-08-26,0.0
2004-08-31,-1.1364
2004-09-01,2.6054
2004-09-02,0.224
2004-09-03,-1.7884
2004-09-07,-1.3657
2004-09-08,1.9231
2004-09-09,1.8868
2004-09-10,0.0
2004-09-13,-3.2593
2004-09-14,2.7565
2004-09-15,0.5961
2004-09-16,0.0
2004-09-17,0.0
2004-09-21,-1.8519
2004-09-22,-1.8113000000000001
2004-09-23,-0.3075
2004-09-24,0.3855
2004-09-27,-0.1536
2004-09-28,-5.3077
2004-09-29,4.7116
2004-09-30,2.3274
2004-10-01,-4.5489
2004-10-04,3.6536999999999997
2004-10-05,-5.1341
2004-10-06,0.727
2004-10-07,-1.7642
2004-10-08,0.0
2004-10-11,3.6734999999999998
2004-10-12,-0.8661
2004-10-13,6.4337
2004-10-14,-3.209
2004-10-15,1.3107
2004-10-18,-0.5327
2004-10-19,-2.4484
2004-10-20,-1.098
2004-10-21,-0.0793
2004-10-25,0.4762
2004-10-26,3.0806
