ticker,LTRPA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-08-28,-5.0883
2014-08-29,-0.6389
2014-09-02,-0.8946
2014-09-03,-1.213
2014-09-04,-0.6282
2014-09-05,-0.2586
2014-09-08,1.4117
2014-09-09,-2.4716
2014-09-10,2.3595
2014-09-11,0.3415
2014-09-12,2.8928000000000003
2014-09-15,-4.1621
2014-09-16,0.4314
2014-09-17,0.2005
2014-09-18,2.2578
2014-09-19,0.9223
2014-09-22,-3.794
2014-09-23,-2.4755
2014-09-24,2.0661
2014-09-25,-2.8051
2014-09-26,1.1306
2014-09-29,-1.0886
2014-09-30,0.8328
2014-10-01,-1.9764
2014-10-02,-1.9862
2014-10-03,0.3991
2014-10-06,-1.0092
2014-10-07,-2.5332
2014-10-08,1.5213999999999999
2014-10-09,-3.4343
2014-10-10,-4.3647
2014-10-13,-4.4287
2014-10-14,-1.4149
2014-10-15,-1.0047
2014-10-16,0.7249
2014-10-17,2.4829
2014-10-20,3.2303
2014-10-21,7.0408
2014-10-22,-2.987
2014-10-23,2.4238
2014-10-24,1.0553
2014-10-27,-1.2658
2014-10-28,1.5385
2014-10-29,-2.399
2014-10-30,-2.0052
2014-10-31,4.2244
2014-11-03,-4.0532
2014-11-04,-1.3531
2014-11-05,-15.657399999999999
2014-11-06,3.927
2014-11-07,-0.6489
2014-11-10,-0.1153
2014-11-11,-4.3077
2014-11-12,1.0852
2014-11-13,-2.3857
2014-11-14,1.4664
2014-11-17,-2.7298
2014-11-18,2.7239
2014-11-19,1.9285
2014-11-20,-0.0394
2014-11-21,0.0394
2014-11-24,0.6307
2014-11-25,0.1958
2014-11-26,0.5082
2014-11-28,1.9447999999999999
2014-12-01,-4.6166
2014-12-02,8.44
2014-12-03,-2.3239
2014-12-04,1.9260000000000002
2014-12-05,0.704
2014-12-08,-4.3414
2014-12-09,-0.3846
2014-12-10,-2.3938
2014-12-11,0.4747
2014-12-12,-1.4173
2014-12-15,0.8387
2014-12-16,-1.2673
2014-12-17,2.7276
2014-12-18,3.5533
2014-12-19,0.4148
2014-12-22,1.2768
2014-12-23,-0.0371
2014-12-24,1.5208
2014-12-26,0.2558
2014-12-29,-0.5831
2014-12-30,-0.4399
2014-12-31,-0.9573
2015-01-02,0.1859
2015-01-05,-2.7829
2015-01-06,-4.2366
2015-01-07,0.6377
2015-01-08,3.9208
2015-01-09,2.7058
2015-01-12,-4.3414
2015-01-13,0.2327
2015-01-14,-2.8251
2015-01-15,-5.456
2015-01-16,2.4853
