ticker,KLIB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-02,-12.381
2000-02-17,10.8696
2000-02-18,6.8627
2000-03-03,-15.5963
2000-03-14,0.0
2000-03-16,4.8913
2000-03-20,0.0
2000-03-22,3.6269
2000-03-27,1.0
2000-07-03,-21.2363
2000-08-15,7.5949
2000-10-16,-5.8824
2000-11-08,-0.625
2001-01-03,11.746
2001-01-08,0.0
2001-01-09,4.5455
2001-01-16,0.0
2001-01-17,1.6303999999999998
2001-01-22,0.0
2001-02-13,-6.9519
2001-03-09,-6.8966
2001-03-13,5.2469
2001-03-14,3.2258
2001-07-05,-2.5229
2001-07-09,2.6471
2001-07-23,1.9828000000000001
2001-08-06,0.4158
2001-11-29,1.6228
2001-11-30,1.9556
2001-12-05,4.0759
2001-12-17,-2.6178
2002-02-15,-1.5699
2002-03-01,0.0
2002-05-01,-2.7747
2002-05-02,3.3708
2002-05-10,-3.2609
2002-05-13,3.3708
2002-06-07,-2.9891
2002-06-14,1.4006
2002-06-17,1.6575
2002-06-21,-1.8102
2002-07-02,2.7933
2002-07-08,-1.5760999999999998
2002-07-12,1.6013
2002-07-22,-2.1739
2002-08-08,0.0556
2002-08-13,1.055
2002-08-14,-1.044
2002-08-15,1.055
2002-10-16,-0.989
2002-10-25,-0.111
2002-12-17,2.1324
2003-01-16,-1.0989
2003-01-27,2.2222
2003-02-12,0.0
2003-04-01,7.8804
2003-04-15,5.7935
2003-04-23,-0.4762
2003-05-29,-11.818200000000001
2003-06-18,1.9178
2003-11-04,-3.2258
2004-05-28,6.1294
2004-06-17,-0.5348
2004-07-12,0.5376
2004-10-29,-0.5348
2004-11-01,1.4516
2004-12-15,0.6963
2005-07-21,6.5734
2005-08-10,-4.6033
2005-11-07,3.7037
2005-11-08,4.5408
2005-11-09,0.0
2005-12-02,0.1382
2006-02-21,-0.4338
2006-02-22,0.0
2006-02-23,1.4851
2006-02-27,0.0
2006-02-28,-0.4878
2006-06-14,2.1825
2006-06-16,0.0
2006-07-13,0.0
2006-08-14,2.9126
2006-08-16,0.934
2006-10-24,-0.458
2006-11-28,2.1596
2006-11-29,4.0
2006-12-28,-0.009
2007-01-19,-2.9345
2007-01-24,1.6743999999999999
2007-02-01,0.6404
2007-02-08,0.1545
2007-02-23,-1.062
2007-02-26,1.0734
2007-03-06,-0.2905
2007-03-22,0.1365
2007-03-27,-0.9091
2007-03-30,2.2936
2007-04-27,0.6726
2007-06-06,-1.7133
2007-07-12,0.0
2007-07-20,3.844
