ticker,CHSY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-09-25,-81.8182
2007-10-23,50.0
2007-10-24,63.3333
2007-10-29,-38.7755
2007-11-01,-16.6667
2007-11-06,4.0
2007-11-07,0.0
2007-11-08,96.1538
2007-11-19,-25.4902
2007-11-26,-34.2105
2007-11-27,-40.0
2007-12-06,0.0
2007-12-10,166.6667
2008-03-12,-62.5
2008-03-13,200.0
2008-05-13,-55.5556
2008-05-30,170.0
2008-06-11,-62.963
2008-06-13,-25.0
2008-06-17,6.6667
2008-06-18,-6.25
2008-06-23,-33.3333
2008-06-25,0.0
2008-06-30,0.0
2008-07-10,380.0
2010-11-30,0.0
2013-02-05,-97.9167
2013-07-12,100.0
2014-09-09,2450.0
2014-09-10,76.4706
2014-09-12,-88.8889
2014-09-17,0.0
2014-09-22,0.0
2014-12-12,0.0
2016-06-17,99.875
2016-06-20,50.0938
2016-11-15,70.0
2016-12-20,-53.9216
2017-01-24,-57.4468
2017-02-02,0.0
2017-03-24,0.0
2017-03-29,399.875
2017-03-30,-79.995
2017-09-14,300.0
2018-02-28,-50.0
2018-03-01,-25.0
2018-03-27,56.6667
2018-05-01,0.0
2018-06-20,-57.4468
2018-12-26,0.0
2019-07-31,400.0
2019-08-01,-80.0
2019-08-07,50.0
2019-09-04,-6.6667
2019-10-02,0.0
2019-10-03,57.1429
2019-10-10,-45.4545
2019-11-26,-25.0
2020-06-03,0.0
