ticker,MIHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-29,32.3529
2006-08-30,-11.1111
2006-08-31,-25.0
2006-10-19,-33.3333
2006-11-01,-50.0
2006-12-11,0.0
2007-01-24,200.0
2007-01-26,16.6667
2007-01-29,14.2857
2007-02-08,0.0
2007-02-12,-37.5
2007-02-13,-20.0
2007-02-16,-25.0
2007-03-05,-13.3333
2007-03-08,-19.2308
2007-03-15,0.0
2007-03-23,23.8095
2007-04-16,0.0
2007-04-17,30.7692
2007-04-18,0.0
2007-04-19,35.2941
2007-04-20,-13.0435
2007-04-23,15.0
2007-04-24,-13.0435
2007-04-25,0.0
2007-04-26,0.0
2007-05-02,0.0
2007-05-15,-10.0
2007-05-17,11.1111
2007-05-18,0.0
2007-05-21,0.0
2007-05-22,0.0
2007-05-23,-10.0
2007-05-24,11.1111
2007-05-25,0.0
2007-05-29,0.0
2007-07-17,25.0
2007-07-18,56.0
2007-07-19,30.7692
2007-07-23,-21.5686
2007-07-24,-15.0
2007-07-25,17.647100000000002
2007-07-30,12.5
2007-07-31,22.2222
2007-08-01,-1.8182
2007-08-02,-7.4074
2007-08-03,0.0
2007-08-06,-12.0
2007-08-07,0.0
2007-08-08,4.5455
2007-08-09,13.0435
2007-08-10,0.0
2007-08-13,5.7692
2007-08-14,-1.8182
2007-08-16,-1.8519
2007-08-17,-5.6604
2007-08-20,0.0
2007-08-21,0.0
2007-08-22,10.0
2007-08-23,-9.0909
2007-08-24,0.0
2007-08-27,0.0
2007-08-28,0.0
2007-08-29,-6.0
2007-08-30,34.0426
2007-08-31,-4.7619
2007-09-04,-20.0
2007-09-05,0.0
2007-09-06,0.0
2007-09-07,-6.25
2007-09-10,0.0
2007-09-11,0.0
2007-09-12,0.0
2007-09-13,0.0
2007-09-14,-8.8889
2007-09-17,4.878
2007-09-18,-18.6047
2007-09-19,8.5714
2007-09-20,5.2632
2007-09-24,-12.5
2007-09-25,-42.8571
2007-09-26,20.0
2007-09-27,-8.3333
2007-10-01,0.0
2007-10-02,-9.0909
2007-10-03,25.0
2007-10-04,80.0
2007-10-15,-44.4444
2007-10-16,-24.0
2007-10-17,5.2632
2007-10-18,0.0
2007-10-19,-25.0
2007-10-22,33.3333
2007-10-24,-5.0
2007-10-25,-15.7895
2007-10-26,-6.25
2007-10-31,0.0
2007-11-01,0.0
2007-11-02,-13.3333
2007-11-05,-23.0769
2007-11-06,-20.0
2007-11-07,-12.5
2007-11-09,7.1429
2007-11-12,20.0
