ticker,QTWO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-20,16.6923
2014-03-21,6.3283
2014-03-24,-3.9058
2014-03-25,0.1935
2014-03-26,-3.4127
2014-03-27,0.1333
2014-03-28,0.5326
2014-03-31,2.8477
2014-04-01,6.9543
2014-04-02,1.8662999999999998
2014-04-03,-2.1277
2014-04-04,-2.2343
2014-04-07,-8.2149
2014-04-08,-7.6716
2014-04-09,1.4577
2014-04-10,1.4368
2014-04-11,-3.1161
2014-04-14,1.1696
2014-04-15,-3.4682
2014-04-16,-2.6198
2014-04-17,0.3843
2014-04-21,3.9816000000000003
2014-04-22,-0.7364
2014-04-23,-2.819
2014-04-24,0.7634
2014-04-25,0.3788
2014-04-28,-1.9623
2014-04-29,-4.234
2014-04-30,-1.2862
2014-05-01,3.7459
2014-05-02,-3.0612
2014-05-05,-2.5911
2014-05-06,-0.2494
2014-05-07,-3.4167
2014-05-08,-8.1104
2014-05-09,-5.8216
2014-05-12,3.5892
2014-05-13,6.3523
2014-05-14,1.991
2014-05-15,0.3549
2014-05-16,3.8019
2014-05-19,2.4702
2014-05-20,-1.7456
2014-05-21,-0.846
2014-05-22,2.4744
2014-05-23,5.6619
2014-05-27,0.3152
2014-05-28,1.414
2014-05-29,1.7041
2014-05-30,0.1523
2014-06-02,2.3574
2014-06-03,-0.6686
2014-06-04,2.8422
2014-06-05,3.4182
2014-06-06,4.4304
2014-06-09,0.8754
2014-06-10,-1.3351
2014-06-11,-1.4208
2014-06-12,3.4317
2014-06-13,2.8534
2014-06-16,-2.5161
2014-06-17,2.5149
2014-06-18,-4.0026
2014-06-19,3.6315
2014-06-20,3.05
2014-06-23,0.3778
2014-06-24,-4.1405
2014-06-25,-2.356
2014-06-26,-0.6032
2014-06-27,-4.7876
2014-06-30,0.9915
2014-07-01,1.9635
2014-07-02,0.8253
2014-07-03,2.5921
2014-07-07,-3.125
2014-07-08,-4.873
2014-07-09,-0.2165
2014-07-10,-1.3014999999999999
2014-07-11,0.3663
2014-07-14,-0.8759
2014-07-15,0.3682
2014-07-16,0.5136
2014-07-17,-4.1606
2014-07-18,4.7219999999999995
2014-07-21,-1.4545
2014-07-22,3.0258
2014-07-23,0.6447
2014-07-24,-0.7829
2014-07-25,-1.076
2014-07-28,-2.9732
2014-07-29,-1.5695000000000001
2014-07-30,0.5315
2014-07-31,-0.5287
2014-08-01,-0.2278
2014-08-04,0.9893
2014-08-05,-4.4461
2014-08-06,1.2618
2014-08-07,1.1682
