ticker,NTRU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-01,299900.0
2012-10-02,-91.3333
2012-10-03,-36.5385
2012-10-04,9.697
2012-10-05,49.7238
2012-10-08,-26.1993
2012-10-09,5.0
2012-10-10,19.0476
2012-10-11,-27.6
2012-10-12,4.9724
2012-10-15,26.3158
2012-10-16,-4.1667
2012-10-17,-10.8696
2012-10-18,-2.439
2012-10-19,10.0
2012-10-22,-9.0909
2012-10-23,0.0
2012-10-24,-15.0
2012-10-25,17.647100000000002
2012-10-26,0.0
2012-10-31,-2.5
2012-11-01,2.5641
2012-11-02,0.0
2012-11-05,-17.5
2012-11-06,0.0
2012-11-07,3.0303
2012-11-08,-11.7647
2012-11-09,0.0
2012-11-12,0.0
2012-11-13,33.3333
2012-11-14,-25.0
2012-11-15,-13.25
2012-11-16,76.7531
2012-11-19,-39.1304
2012-11-20,-50.0
2012-11-21,185.7143
2012-11-23,0.0
2012-11-26,0.0
2012-11-27,-5.0
2012-11-28,2.6316
2012-11-29,1.0256
2012-11-30,-13.7056
2012-12-03,-2.9412000000000003
2012-12-04,3.0303
2012-12-05,35.2941
2012-12-06,-13.0435
2012-12-07,0.0
2012-12-10,0.0
2012-12-11,5.0
2012-12-12,0.0
2012-12-13,-14.2857
2012-12-14,-2.7778
2012-12-17,14.2857
2012-12-18,0.0
2012-12-19,-10.0
2012-12-20,0.0
2012-12-21,-15.5556
2012-12-24,31.5789
2012-12-26,-19.5
2012-12-27,-5.5901
2012-12-28,0.0
2012-12-31,25.0
2013-01-02,-25.9868
2013-01-03,35.1111
2013-01-04,-2.6316
2013-01-07,-0.0676
2013-01-08,-0.5409
2013-01-09,-2.1754
2013-01-10,-2.7102
2013-01-11,2.75
2013-01-14,0.0
2013-01-16,0.1043
2013-01-17,-0.1736
2013-01-18,0.0
2013-01-22,-0.0348
2013-01-23,0.0
2013-01-24,-0.0696
2013-01-25,-8.1476
2013-01-28,-2.9568
2013-01-29,6.25
2013-01-30,0.0
2013-01-31,-2.9412000000000003
2013-02-01,0.0
2013-02-04,-9.0909
2013-02-05,4.6667
2013-02-06,-1.2739
2013-02-07,0.0
2013-02-08,-9.6774
2013-02-11,-10.7143
2013-02-12,12.0
2013-02-13,3.5714
2013-02-14,17.2414
2013-02-15,0.0
2013-02-19,-27.8309
2013-02-20,-2.1905
2013-02-21,23.2292
2013-02-22,-29.0786
2013-02-25,5.006
2013-02-26,27.0148
2013-02-27,-10.6345
2013-02-28,-3.2
