ticker,UNBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-20,-30.5556
2011-09-01,0.0
2011-09-16,-4.0
2011-11-29,2.0833
2011-12-22,79.5918
2012-03-12,-18.1818
2012-03-28,33.3333
2012-05-23,0.0
2012-06-18,-25.0
2012-06-28,0.0
2013-06-25,1.3889
2013-06-26,1.9178
2013-06-28,0.8065
2013-08-01,0.0
2013-08-05,0.0533
2014-05-22,-0.0533
2014-06-12,-4.0
2014-12-12,11.1111
2014-12-30,10.0
2015-03-09,-9.0909
2015-04-06,-7.5
2015-04-07,8.1081
2015-04-10,-7.5
2015-05-07,0.0
2015-05-14,0.0
2015-05-20,5.4054
2015-10-13,0.2564
2015-10-26,-1.4834
2016-04-14,1.5057
2016-04-15,0.0
2016-06-29,2.3018
2016-08-01,0.0
2016-08-02,10.0
2016-08-12,9.0909
2016-08-31,-12.5
2016-09-08,9.4762
2016-09-19,-8.6559
2016-10-06,14.2857
2016-10-10,0.0
2016-11-23,2.0833
2017-03-06,22.449
2017-06-07,-9.1667
2017-06-26,0.9174
2017-07-20,0.0
2017-08-02,7.2727
2017-10-12,-6.7797
2017-10-18,0.9091
2017-11-03,8.1081
2017-11-09,6.6667
2017-11-17,0.0
2017-11-27,-3.9063
2017-12-18,7.3171
2017-12-29,1.0606
2018-01-23,39.8801
2018-01-24,0.7503
2018-02-09,-20.2128
2018-03-01,-14.64
2018-03-12,4.6548
2018-05-22,-4.4478
2018-08-07,-0.0312
2018-08-16,1.5625
2018-08-20,1.5385
2018-08-21,2.2727
2018-10-05,-5.1793
2018-10-10,3.1186
2018-10-12,0.0
2018-12-04,-4.5152
2018-12-19,-0.6665
2019-03-12,-6.5495
2019-03-21,0.8547
2019-03-29,-0.0678
2019-04-01,0.0678
2019-04-03,0.0
2019-04-30,0.0339
2019-05-06,3.3548
2019-05-16,11.4754
2019-10-14,-5.1471
2019-10-29,-0.7752
2020-02-28,1.5625
2020-03-02,0.0
2020-03-18,-20.0
2020-03-31,0.0
2020-04-03,-3.8462
2020-04-23,-16.0
