ticker,AHII US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-29,40.0
2013-09-03,257.1429
2013-09-30,60.0
2013-10-02,0.0
2013-10-29,12.5
2013-11-12,0.0
2013-12-05,2.2222
2013-12-06,10.8696
2013-12-09,13.7255
2013-12-10,0.0
2013-12-11,-5.1724
2013-12-12,5.4545
2013-12-13,3.4483
2013-12-16,15.0
2013-12-17,8.6957
2013-12-18,2.6667
2013-12-19,0.0
2013-12-20,3.8961
2013-12-23,0.0
2013-12-24,0.0
2013-12-26,2.5
2013-12-27,-2.439
2013-12-30,6.25
2013-12-31,-2.3529
2014-01-02,4.8193
2014-01-06,0.0
2014-01-07,0.5747
2014-01-08,-7.4286
2014-01-09,14.8148
2014-01-10,2.1505
2014-01-13,2.1053
2014-01-14,1.0309
2014-01-15,-0.5102
2014-01-16,0.0
2014-01-17,1.5385
2014-01-21,1.0101
2014-01-22,0.0
2014-01-23,1.0
2014-01-24,0.9901
2014-01-27,0.0
2014-01-28,0.9804
2014-01-29,0.9709
2014-01-30,0.9615
2014-01-31,0.9524
2014-02-03,1.8868
2014-02-04,-1.8519
2014-02-05,0.9434
2014-02-06,2.8037
2014-02-07,3.6364
2014-02-10,-9.6491
2014-02-11,6.7961
2014-02-12,2.7273
2014-02-13,3.5398
2014-02-14,-1.7094
2014-02-18,0.0
2014-02-19,1.7391
2014-02-20,0.8547
2014-02-21,0.0
2014-02-24,-5.9322
2014-02-25,7.2072
2014-02-26,-1.6806999999999999
2014-02-27,2.5641
2014-02-28,0.0
2014-03-03,-3.3333
2014-03-04,-1.7241
2014-03-05,3.5088
2014-03-06,1.6949
2014-03-07,0.0
2014-03-10,4.1667
2014-03-11,2.4
2014-03-12,2.3438
2014-03-13,5.3435
2014-03-14,2.1739
2014-03-17,1.4184
2014-03-18,3.4965
2014-03-19,5.4054
2014-03-20,2.5641
2014-03-21,-3.75
2014-03-24,-9.0909
2014-03-25,-50.0
2014-03-26,12.857099999999999
2014-03-27,9.4937
2014-03-28,6.3584
2014-03-31,1.087
2014-04-01,-7.8495
2014-04-02,-8.9848
2014-04-03,3.7179
2014-04-04,8.6527
2014-04-07,3.5267
2014-04-08,2.1978
2014-04-09,1.3978
2014-04-10,-1.3786
2014-04-11,-6.4516
2014-04-14,-4.5977
2014-04-15,7.2289
2014-04-16,-16.2921
2014-04-17,14.094
2014-04-21,4.4706
2014-04-22,1.6329
2014-04-23,-5.8033
2014-04-24,2.926
2014-04-25,-4.0
2014-04-28,-14.2857
