ticker,UMAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-11,33.3333
2010-05-06,1587.5
2010-05-14,0.0
2010-05-18,0.0
2010-05-21,11.1111
2010-06-01,16.6667
2010-06-04,2.8571
2010-07-26,11.1111
2010-08-13,22.5
2010-08-16,2.0408
2010-08-17,60.0
2010-08-18,-25.0
2010-08-19,0.0
2010-08-24,0.0
2010-08-26,0.0
2010-08-27,1.6667
2010-08-30,-34.7541
2010-08-31,56.2814
2010-09-02,-0.3215
2010-09-03,0.0
2010-09-08,12.9032
2010-09-09,7.1429
2010-09-13,1.3333
2010-09-14,5.2632
2010-09-22,-15.0
2010-09-24,25.0
2010-09-28,-2.3529
2010-09-29,2.1687
2010-09-30,-10.3774
2010-10-01,-2.1053
2010-10-04,-1.8817
2010-10-05,9.589
2010-10-06,6.25
2010-10-07,-11.7647
2010-10-08,4.0
2010-10-11,2.5641
2010-10-12,-3.75
2010-10-18,-15.5844
2010-10-20,-7.6923
2010-10-28,0.0
2010-10-29,20.0
2010-11-01,4.1667
2010-11-02,-1.3333
2010-11-03,1.3514
2010-11-05,-1.3333
2010-11-08,0.0
2010-11-09,-12.7027
2010-11-11,0.0
2010-11-15,8.0495
2010-11-16,-28.3668
2010-11-17,40.0
2010-11-19,-42.8571
2010-11-22,-5.0
2010-11-23,4.7368
2010-11-24,-10.4523
2010-11-26,54.321
2010-11-29,-35.2
2010-11-30,82.3793
2010-12-01,-6.1538
2010-12-02,-1.6393
2010-12-03,8.3333
2010-12-06,1.5385
2010-12-07,0.0
2010-12-08,0.0
2010-12-09,-1.5152
2010-12-10,0.0
2010-12-13,-3.0769
2010-12-14,-4.7619
2010-12-15,8.3333
2010-12-16,-0.3077
2010-12-17,-7.4074
2010-12-21,-1.6667
2010-12-23,0.0
2010-12-27,0.0
2010-12-29,-14.9153
2010-12-30,5.5777
2010-12-31,0.0
2011-01-03,11.3208
2011-01-04,0.0
2011-01-05,6.7797
2011-01-06,0.0
2011-01-07,0.0
2011-01-10,1.5873
2011-01-11,1.25
2011-01-12,0.0
2011-01-14,-1.2346
2011-01-18,0.9375
2011-01-19,-0.9288
2011-01-20,-1.5625
2011-01-21,3.1746
2011-01-24,0.0
2011-01-25,0.0
2011-01-26,-10.7692
2011-01-27,3.1034
2011-01-28,2.0067
2011-02-01,-4.918
2011-02-02,-1.7241
2011-02-04,0.0
2011-02-07,-1.7544
2011-02-08,-16.0714
2011-02-09,4.2553
2011-02-10,-6.1224
2011-02-11,4.3478
