ticker,XOMA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.0417
2000-01-04,-2.1053
2000-01-05,0.0
2000-01-06,1.0753
2000-01-07,-4.2553
2000-01-10,4.4444
2000-01-11,6.383
2000-01-12,6.0
2000-01-13,5.6604
2000-01-14,16.0714
2000-01-18,9.2308
2000-01-19,35.2113
2000-01-20,-9.375
2000-01-21,-2.2989
2000-01-24,5.8824
2000-01-25,26.6667
2000-01-26,-6.1404
2000-01-27,-11.215
2000-01-28,-2.1053
2000-01-31,-4.8387
2000-02-01,3.9548
2000-02-02,-6.5217
2000-02-03,-2.3256
2000-02-04,0.0
2000-02-07,21.4286
2000-02-08,8.8235
2000-02-09,-7.6577
2000-02-10,16.0976
2000-02-11,-5.8824
2000-02-14,8.9286
2000-02-15,13.5246
2000-02-16,8.3032
2000-02-17,28.0
2000-02-18,-11.4583
2000-02-22,-15.8824
2000-02-23,9.0909
2000-02-24,-5.7692
2000-02-25,-0.6803
2000-02-28,-5.4795
2000-02-29,7.2464
2000-03-01,8.1081
2000-03-02,11.25
2000-03-03,18.5393
2000-03-06,12.3223
2000-03-07,-13.9241
2000-03-08,5.8824
2000-03-09,-6.4815
2000-03-10,-2.9703
2000-03-13,-12.2449
2000-03-14,-9.8837
2000-03-15,-4.5161
2000-03-16,8.1081
2000-03-17,1.25
2000-03-20,-11.1111
2000-03-21,-6.25
2000-03-22,15.5556
2000-03-23,5.1282
2000-03-24,-11.5854
2000-03-27,0.0
2000-03-28,-3.4483
2000-03-29,-10.7143
2000-03-30,-7.2
2000-03-31,6.8966
2000-04-03,-9.6774
2000-04-04,-6.25
2000-04-05,2.8571
2000-04-06,18.5185
2000-04-07,17.1875
2000-04-10,-14.0
2000-04-11,-2.7132
2000-04-12,-17.1315
2000-04-13,3.8462
2000-04-14,-14.8148
2000-04-17,-2.1739
2000-04-18,24.4444
2000-04-19,-5.3571
2000-04-20,-12.2642
2000-04-24,-7.5269
2000-04-25,-25.0
2000-04-26,-5.4264
2000-04-27,-6.5574
2000-04-28,14.0351
2000-05-01,4.6154
2000-05-02,4.4118
2000-05-03,-5.6338
2000-05-04,4.4776
2000-05-05,8.5714
2000-05-08,-7.8947
2000-05-09,-1.4285999999999999
2000-05-10,-7.2464
2000-05-11,-2.3437
2000-05-12,4.0
2000-05-15,0.0
2000-05-16,2.3077
2000-05-17,-3.7594
2000-05-18,-2.3437
2000-05-19,-1.6
2000-05-22,-5.6911000000000005
2000-05-23,-3.4483
