ticker,CHEK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-03-19,0.6966
2015-03-20,1.3771
2015-03-23,-3.0612
2015-03-24,1.0526
2015-03-25,-1.0417
2015-03-26,-2.807
2015-03-27,0.0
2015-03-30,-2.5271
2015-03-31,1.8519
2015-04-01,-2.7273
2015-04-02,5.0467
2015-04-06,0.3559
2015-04-07,-1.1292
2015-04-08,-2.2652
2015-04-09,-3.8532
2015-04-10,4.5802
2015-04-13,-5.1095
2015-04-14,2.6923
2015-04-15,-0.9363
2015-04-16,-2.3748
2015-04-17,-3.1829
2015-04-20,-3.4
2015-04-21,-5.383
2015-04-22,-3.7199
2015-04-23,-4.3182
2015-04-24,0.7126
2015-04-27,8.0778
2015-04-28,5.1828
2015-04-29,-0.6224
2015-04-30,8.3507
2015-05-01,-10.5973
2015-05-04,6.4655000000000005
2015-05-05,-6.4777000000000005
2015-05-07,-0.4302
2015-05-11,2.6059
2015-05-12,-6.7797
2015-05-14,5.6818
2015-05-15,-2.7957
2015-05-18,1.1062
2015-05-19,-7.6586
2015-05-20,4.2654
2015-05-21,1.8182
2015-05-22,-3.5714
2015-05-26,3.7037
2015-05-27,-2.6786
2015-05-28,-1.3761
2015-05-29,0.0
2015-06-01,-2.7907
2015-06-02,0.7177
2015-06-03,3.3254
2015-06-04,2.069
2015-06-05,-4.2793
2015-06-08,-0.4706
2015-06-09,1.6548
2015-06-10,-4.4186
2015-06-11,-7.2993
2015-06-12,-3.6745
2015-06-15,-5.9946
2015-06-16,-5.7971
2015-06-17,-7.6615
2015-06-18,8.5971
2015-06-19,-5.2969
2015-06-22,1.0895
2015-06-23,-2.2436
2015-06-24,-0.6557
2015-06-25,-7.5908
2015-06-26,-2.8571
2015-06-29,0.0
2015-06-30,28.6765
2015-07-01,9.1429
2015-07-02,-0.2618
2015-07-06,-2.8871
2015-07-07,-4.0541
2015-07-08,2.5352
2015-07-09,0.0
2015-07-10,6.044
2015-07-13,-3.886
2015-07-14,0.2695
2015-07-15,-1.3441
2015-07-16,4.404
2015-07-17,0.4796
2015-07-20,-1.039
2015-07-21,1.916
2015-07-22,5.0734
2015-07-23,-2.9381
2015-07-24,0.0
2015-07-27,-10.3564
2015-07-28,1.4049
2015-07-29,7.7815
2015-07-30,-16.2371
2015-07-31,9.538499999999999
2015-08-03,3.9326
2015-08-04,-3.7838000000000003
2015-08-05,-1.6854
2015-08-06,0.0
2015-08-10,-3.4286
2015-08-12,2.071
2015-08-13,-0.3514
