ticker,APPZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-11,0.0
2010-03-12,1.6667
2010-03-22,1.6393
2010-03-26,3.2258
2010-03-31,9.375
2010-04-08,7.1429
2010-04-12,9.3333
2010-04-14,0.0
2010-04-16,4.878
2010-04-19,0.0
2010-04-20,17.4419
2010-04-23,0.0
2010-04-26,3.9604
2010-04-28,0.0
2010-05-18,-14.2857
2010-06-04,0.0
2010-06-18,0.0
2010-06-22,-5.5556
2010-08-31,0.0
2010-09-10,0.0
2010-09-23,0.0
2010-09-24,0.0
2010-10-14,0.0
2010-10-20,1.1764999999999999
2010-10-21,0.0
2010-10-22,0.0
2010-10-26,-1.1628
2010-10-27,1.1764999999999999
2010-10-28,1.1628
2010-11-01,-1.1494
2010-11-02,2.3256
2010-11-03,1.1364
2010-11-04,1.1236
2010-11-05,2.2222
2010-11-08,1.087
2010-11-09,0.0
2010-11-10,1.0753
2010-11-11,2.1277
2010-11-12,1.0417
2010-11-15,4.1237
2010-11-16,3.9604
2010-11-17,6.6667
2010-11-18,5.3571
2010-11-19,8.4746
2010-11-22,10.1563
2010-11-23,-25.5319
2010-11-24,9.5238
2010-11-26,-4.3478
2010-11-29,3.6364
2010-11-30,13.1579
2010-12-01,1.5504
2010-12-02,-9.9237
2010-12-03,23.3051
2010-12-06,-10.3093
2010-12-07,-32.1839
2010-12-08,13.5593
2010-12-09,-14.9254
2010-12-10,-15.7895
2010-12-13,8.3333
2010-12-14,0.0
2010-12-15,-7.6923
2010-12-16,4.1667
2010-12-17,-12.0
2010-12-20,-13.6364
2010-12-21,-15.7895
2010-12-22,6.25
2010-12-23,0.0
2010-12-27,2.9412000000000003
2010-12-28,11.4286
2010-12-29,-21.7949
2010-12-30,-4.918
2010-12-31,20.3448
2011-01-03,-16.9054
2011-01-04,-23.7931
2011-01-05,13.1222
2011-01-06,-20.0
2011-01-07,25.0
2011-01-10,-19.6
2011-01-11,24.3781
2011-01-12,44.0
2011-01-13,-22.2222
2011-01-14,7.1429
2011-01-18,-10.0
2011-01-19,-7.4074
2011-01-20,4.0
2011-01-21,0.0
2011-01-24,73.0769
2011-01-25,4.4444
2011-01-26,-8.5106
2011-01-27,-2.3256
2011-01-28,-4.7619
2011-01-31,-12.5
2011-02-01,14.2857
2011-02-02,-25.0
2011-02-03,20.0
2011-02-04,11.1111
2011-02-07,-12.5
2011-02-08,-8.5714
2011-02-09,0.0
2011-02-10,-6.25
2011-02-11,13.3333
2011-02-14,0.0
