ticker,KBLB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-11,0.0
2008-03-13,0.0
2008-03-14,0.0
2008-03-18,-96.0
2008-03-19,2400.0
2008-03-20,0.0
2008-03-24,0.0
2008-03-25,0.0
2008-04-04,-50.0
2008-04-07,20.0
2008-04-08,0.0
2008-04-09,-3.3333
2008-04-10,17.2414
2008-04-11,-26.4706
2008-04-15,20.0
2008-04-17,6.6667
2008-04-18,0.0
2008-04-21,0.0
2008-04-22,0.0
2008-04-23,3.125
2008-04-24,0.0
2008-04-25,0.0
2008-04-28,-9.0909
2008-04-29,10.0
2008-04-30,0.0
2008-05-01,3.0303
2008-05-06,0.0
2008-05-07,0.0
2008-05-08,5.8824
2008-05-09,16.6667
2008-05-12,-4.7619
2008-05-13,0.0
2008-05-14,0.0
2008-05-15,-15.0
2008-05-16,23.5294
2008-05-19,0.0
2008-05-20,-9.5238
2008-05-21,5.2632
2008-05-23,-12.5
2008-05-27,0.0
2008-05-28,-14.2857
2008-05-29,-3.3333
2008-06-03,6.8966
2008-06-05,-9.6774
2008-06-06,25.0
2008-06-09,-20.0
2008-06-11,0.0
2008-06-18,-10.7143
2008-06-19,-20.0
2008-06-20,0.0
2008-06-25,25.0
2008-07-08,0.0
2008-07-09,0.0
2008-07-11,0.0
2008-07-14,0.0
2008-07-17,0.0
2008-07-21,20.0
2008-07-22,0.0
2008-07-23,-33.3333
2008-07-24,37.5
2008-07-25,0.0
2008-07-28,-9.0909
2008-07-30,-8.0
2008-07-31,-8.6957
2008-08-01,33.3333
2008-08-04,-17.8571
2008-08-05,8.6957
2008-08-06,12.0
2008-08-07,3.5714
2008-08-08,-3.4483
2008-08-11,7.1429
2008-08-12,0.0
2008-08-13,0.0
2008-08-14,-10.0
2008-08-15,22.2222
2008-08-18,-9.0909
2008-08-19,0.0
2008-08-21,0.0
2008-08-22,0.0
2008-08-26,-10.0
2008-08-27,11.1111
2008-08-28,-3.3333
2008-08-29,-3.4483
2008-09-02,-1.7856999999999998
2008-09-04,-5.4545
2008-09-05,0.0
2008-09-08,-13.461500000000001
2008-09-09,-11.1111
2008-09-10,0.0
2008-09-11,0.0
2008-09-12,0.0
2008-09-15,0.0
2008-09-16,-25.0
2008-09-17,-33.3333
2008-09-18,50.0
2008-09-19,16.6667
2008-09-22,57.1429
2008-09-24,0.0
2008-09-26,0.0
2008-09-30,-9.0909
2008-10-02,-36.0
2008-10-06,0.0
2008-10-07,0.0
2008-10-15,18.75
2008-10-17,31.5789
