ticker,STRH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-05,-20.0
2000-01-07,56.25
2000-01-10,32.0
2000-01-11,-3.0303
2000-01-12,-15.625
2000-01-13,-11.1111
2000-01-14,33.3333
2000-01-18,-25.0
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,16.6667
2000-01-24,-14.2857
2000-01-25,45.8333
2000-01-26,-8.5714
2000-01-27,-18.75
2000-01-28,23.0769
2000-01-31,-12.5
2000-02-01,7.1429
2000-02-02,5.6
2000-02-03,1.0101
2000-02-04,0.0
2000-02-07,-12.5
2000-02-08,12.5
2000-02-09,-17.4603
2000-02-10,3.8462
2000-02-11,-11.1111
2000-02-14,-16.6667
2000-02-15,12.0
2000-02-16,25.0
2000-02-17,-17.1429
2000-02-18,3.4483
2000-02-22,25.0
2000-02-24,-18.4
2000-02-25,-18.3007
2000-02-28,20.0
2000-02-29,0.0
2000-03-01,0.0
2000-03-02,-6.6667
2000-03-03,0.0
2000-03-06,0.0
2000-03-07,25.0
2000-03-08,0.0
2000-03-09,-1.7856999999999998
2000-03-10,-12.7273
2000-03-13,33.3333
2000-03-14,-37.5
2000-03-15,40.0
2000-03-16,-2.8571
2000-03-17,-8.8235
2000-03-20,0.0
2000-03-21,-69.0323
2000-03-22,160.4167
2000-03-23,0.0
2000-03-24,0.0
2000-03-27,16.0
2000-03-28,-3.4483
2000-03-29,2.8571
2000-03-30,2.7778
2000-03-31,-2.7027
2000-04-04,-9.0278
2000-04-05,10.9256
2000-04-06,2.5376
2000-04-07,-15.4362
2000-04-10,0.0
2000-04-11,0.0
2000-04-12,-19.8413
2000-04-14,43.5644
2000-04-17,-47.5862
2000-04-18,64.4737
2000-04-24,-39.2
2000-04-25,64.4737
2000-04-26,-39.2
2000-04-27,48.0263
2000-04-28,-32.4444
2000-05-01,64.4737
2000-05-02,-20.0
2000-05-03,-25.0
2000-05-04,0.0
2000-05-09,0.0
2000-05-10,0.0
2000-05-17,-20.0
2000-05-30,26.6667
2000-06-05,-27.6316
2000-06-09,0.0
2000-06-27,0.0
2000-07-03,-63.6364
2000-07-05,200.0
2000-07-14,-58.3333
2000-07-26,260.0
2000-08-02,-66.6667
2000-08-04,0.0
2000-08-08,100.0
2000-08-17,-50.0
2000-08-18,0.0
2000-08-21,0.0
2000-08-23,0.0
2000-09-08,0.0
2000-09-11,13.3333
2000-09-13,-11.7647
2000-09-18,0.0
2000-09-20,0.0
2000-09-21,33.3333
