ticker,OASPQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-17,6.2857
2010-06-18,7.2581
2010-06-21,-1.4411
2010-06-22,-1.0807
2010-06-23,-2.5064
2010-06-24,-3.0982
2010-06-25,0.3401
2010-06-28,2.0339
2010-06-29,-2.99
2010-06-30,-0.6849
2010-07-01,-0.5517
2010-07-02,-0.4854
2010-07-06,0.0697
2010-07-07,2.9248
2010-07-08,2.774
2010-07-09,3.6866
2010-07-12,-0.8889
2010-07-13,2.5625
2010-07-14,2.3735
2010-07-15,-1.3423
2010-07-16,0.804
2010-07-19,-0.1227
2010-07-20,4.4226
2010-07-21,-2.8235
2010-07-22,3.1477
2010-07-23,-1.8192
2010-07-26,-0.2989
2010-07-27,-2.2182
2010-07-28,5.3955
2010-07-29,1.1053
2010-07-30,-1.0357
2010-08-02,3.1977
2010-08-03,1.2958
2010-08-04,2.6696
2010-08-05,-1.7875999999999999
2010-08-06,-0.1103
2010-08-09,-1.4357
2010-08-10,-0.9524
2010-08-11,-3.9593
2010-08-12,2.5324
2010-08-13,1.8955
2010-08-16,-2.0857
2010-08-17,0.7484
2010-08-18,-2.0571
2010-08-19,-0.7001
2010-08-20,-0.1175
2010-08-23,1.7647
2010-08-24,-0.289
2010-08-25,-2.7826
2010-08-26,-1.9678
2010-08-27,0.365
2010-08-30,0.3636
2010-08-31,-0.5435
2010-09-01,6.0716
2010-09-02,2.2896
2010-09-03,0.6715
2010-09-07,-1.612
2010-09-08,0.6215
2010-09-09,1.3476
2010-09-10,-1.8837000000000002
2010-09-13,-1.2987
2010-09-14,0.3432
2010-09-15,1.1973
2010-09-16,1.9718
2010-09-17,0.7182
2010-09-20,-0.6583
2010-09-21,-0.1104
2010-09-22,-3.372
2010-09-23,-3.3181
2010-09-24,4.8521
2010-09-27,1.2415
2010-09-28,-0.0557
2010-09-29,5.1868
2010-09-30,2.7041
2010-10-01,3.1492
2010-10-04,-2.002
2010-10-05,6.333
2010-10-06,1.1047
2010-10-07,3.2304
2010-10-08,4.0497
2010-10-11,0.1769
2010-10-12,-2.8256
2010-10-13,1.8628
2010-10-14,-1.6057000000000001
2010-10-15,-1.9039000000000001
2010-10-18,0.0924
2010-10-19,-6.4635
2010-10-20,0.1481
2010-10-21,1.4786000000000001
2010-10-22,2.8655
2010-10-25,0.0
2010-10-26,0.8971
2010-10-27,-2.059
2010-10-28,-0.2389
2010-10-29,1.8678
2010-11-01,-0.1881
2010-11-02,3.9567
2010-11-03,0.2719
