ticker,CERS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.1321
2000-01-04,0.5025
2000-01-05,3.0
2000-01-06,-0.2427
2000-01-07,1.2165
2000-01-10,2.8846
2000-01-11,12.1495
2000-01-12,13.3333
2000-01-13,-4.7794
2000-01-14,14.6718
2000-01-18,1.3468
2000-01-19,-1.6611
2000-01-20,1.3514
2000-01-21,0.6667
2000-01-24,11.9205
2000-01-25,-2.9586
2000-01-26,-3.6585
2000-01-27,-0.6329
2000-01-28,-6.051
2000-01-31,0.339
2000-02-01,-3.7161999999999997
2000-02-02,-1.0526
2000-02-03,6.7376000000000005
2000-02-04,-1.6611
2000-02-07,3.5473
2000-02-08,5.3834
2000-02-09,2.7864
2000-02-10,-6.3253
2000-02-11,-0.9646
2000-02-14,-8.7662
2000-02-15,4.6263
2000-02-16,10.2041
2000-02-17,13.5802
2000-02-18,6.7935
2000-02-22,0.7634
2000-02-23,-2.904
2000-02-24,-0.13
2000-02-25,-2.6042
2000-02-28,1.0695000000000001
2000-02-29,2.1164
2000-03-01,1.5544
2000-03-02,16.0714
2000-03-03,2.1978
2000-03-06,15.2688
2000-03-07,4.4776
2000-03-08,-0.7143
2000-03-09,-1.259
2000-03-10,-14.5719
2000-03-13,-7.6759
2000-03-14,-4.6189
2000-03-15,-8.4746
2000-03-16,4.2328
2000-03-17,9.3909
2000-03-20,-5.4524
2000-03-21,-12.638
2000-03-22,12.3596
2000-03-23,1.0
2000-03-24,-2.9703
2000-03-27,2.551
2000-03-28,-4.3532
2000-03-29,0.2601
2000-03-30,1.6861000000000002
2000-03-31,-1.5306
2000-04-03,-6.7358
2000-04-04,-11.3889
2000-04-05,0.627
2000-04-06,5.6075
2000-04-07,8.5546
2000-04-10,-0.5435
2000-04-11,-2.1858
2000-04-12,-13.9665
2000-04-13,11.6883
2000-04-14,-23.9826
2000-04-17,-11.2811
2000-04-18,9.4828
2000-04-19,19.2913
2000-04-20,-2.3102
2000-04-24,0.6757
2000-04-25,-6.0403
2000-04-26,1.4285999999999999
2000-04-27,0.0
2000-04-28,4.2254
2000-05-01,4.0541
2000-05-02,-1.2987
2000-05-03,-1.3158
2000-05-04,4.0
2000-05-05,1.9231
2000-05-08,0.6289
2000-05-09,0.3125
2000-05-10,-0.6231
2000-05-11,-2.5078
2000-05-12,0.6431
2000-05-15,2.3962
2000-05-16,-2.4961
2000-05-17,3.68
2000-05-18,0.0
2000-05-19,-0.3086
2000-05-22,-4.0248
2000-05-23,3.2258
