ticker,PLXS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.7045
2000-01-04,-2.6734
2000-01-05,-0.0742
2000-01-06,0.1486
2000-01-07,0.7418
2000-01-10,2.5037000000000003
2000-01-11,2.4425
2000-01-12,-1.2623
2000-01-13,2.2727
2000-01-14,-3.6111
2000-01-18,2.3415
2000-01-19,11.580400000000001
2000-01-20,4.4795
2000-01-21,4.3478
2000-01-24,-5.0926
2000-01-25,-0.5488
2000-01-26,5.702
2000-01-27,-5.0464
2000-01-28,-1.5883
2000-01-31,-7.635
2000-02-01,0.336
2000-02-02,8.2384
2000-02-03,4.8267
2000-02-04,2.0071
2000-02-07,7.4074
2000-02-08,2.8556
2000-02-09,0.4191
2000-02-10,0.9911
2000-02-11,-2.5826000000000002
2000-02-14,-7.4231
2000-02-15,1.0882
2000-02-16,1.7564
2000-02-17,3.118
2000-02-18,1.2419
2000-02-22,1.5467
2000-02-23,-2.1008
2000-02-24,-0.6438
2000-02-25,-0.108
2000-02-28,0.4324
2000-02-29,-2.7449
2000-03-01,-1.2175
2000-03-02,4.7059
2000-03-03,2.1937
2000-03-06,-4.5026
2000-03-07,-3.9474
2000-03-08,5.9361
2000-03-09,7.3276
2000-03-10,6.1245
2000-03-13,2.7436
2000-03-14,-1.105
2000-03-15,-8.1937
2000-03-16,0.2028
2000-03-17,2.581
2000-03-20,3.7987
2000-03-21,-6.654
2000-03-22,5.0916
2000-03-23,7.1705
2000-03-24,0.0904
2000-03-27,-4.9684
2000-03-28,2.6616
2000-03-29,1.1574
2000-03-30,-8.833
2000-03-31,7.0281
2000-04-03,-4.2214
2000-04-04,-5.6807
2000-04-05,-1.7652999999999999
2000-04-06,11.2051
2000-04-07,9.505700000000001
2000-04-10,-2.9514
2000-04-11,-1.6099999999999999
2000-04-12,-14.1818
2000-04-13,5.9322
2000-04-14,-12.7
2000-04-17,9.8511
2000-04-18,4.0667
2000-04-19,14.3287
2000-04-20,-0.2629
2000-04-24,1.2302
2000-04-25,4.1667
2000-04-26,0.75
2000-04-27,3.8048
2000-04-28,-2.3108
2000-05-01,-3.8336
2000-05-02,-5.0042
2000-05-03,-3.4821
2000-05-04,1.8500999999999999
2000-05-05,4.0872
2000-05-08,5.2356
2000-05-09,3.2753
2000-05-10,1.0036
2000-05-11,-0.9539
2000-05-12,4.0128
2000-05-15,8.9506
2000-05-16,1.1331
2000-05-17,-2.6611000000000002
2000-05-18,-3.0935
2000-05-19,-4.3801
2000-05-22,-1.2422
