ticker,ASPU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-29,-79.8154
2012-03-30,6.7073
2012-04-05,7.1429
2012-09-12,-22.4
2012-10-01,-10.6529
2012-10-02,9.6154
2012-10-12,-71.9298
2012-10-26,0.0
2012-10-31,-6.25
2012-11-13,0.0
2012-11-26,6.6667
2012-11-30,-6.25
2012-12-03,0.0
2012-12-04,0.0
2012-12-05,-6.6667
2012-12-06,0.0
2012-12-24,10.0
2012-12-28,3.8961
2013-01-30,-37.5
2013-02-26,10.0
2013-03-13,-9.0909
2013-03-14,-16.0
2013-03-22,19.0476
2013-03-28,0.0
2013-04-05,-2.0
2013-04-09,0.0
2013-04-16,-8.1633
2013-04-17,11.1111
2013-04-30,-2.0
2013-05-03,-8.1633
2013-05-06,-11.1111
2013-05-07,0.0
2013-05-13,-12.5
2013-05-14,0.0
2013-05-15,-14.2857
2013-05-16,0.0
2013-05-17,16.6667
2013-05-21,0.0
2013-05-22,-14.2857
2013-05-23,6.6667
2013-05-24,0.0
2013-05-28,3.125
2013-05-31,-3.0303
2013-06-03,-6.25
2013-06-06,-16.6667
2013-06-07,0.0
2013-06-11,0.0
2013-06-14,0.0
2013-06-17,36.0
2013-06-18,5.8824
2013-06-19,38.8889
2013-06-20,-10.0
2013-06-21,11.1111
2013-06-24,2.0
2013-06-25,-21.5686
2013-06-26,-15.0
2013-06-27,-11.7647
2013-06-28,26.6667
2013-07-02,0.0
2013-07-08,-21.0526
2013-07-09,16.6667
2013-07-10,-5.7143
2013-07-11,6.0606
2013-07-12,-5.7143
2013-07-15,0.0
2013-07-17,-3.0303
2013-07-19,12.5
2013-07-22,-30.5556
2013-07-23,20.0
2013-07-24,0.0
2013-07-25,-16.6667
2013-07-26,28.0
2013-07-29,-5.0
2013-08-01,-4.6053
2013-08-02,-3.4483
2013-08-05,-12.857099999999999
2013-08-06,-9.8361
2013-08-07,2.2727
2013-08-08,-2.2222
2013-08-09,-4.5455
2013-08-13,-2.3810000000000002
2013-08-14,-2.439
2013-08-15,10.0
2013-08-16,20.4545
2013-08-19,-13.2075
2013-08-20,0.0
2013-08-21,4.3478
2013-08-22,17.0833
2013-08-23,3.2028
2013-08-26,3.4483
2013-08-27,-3.3333
2013-08-28,-6.8966
2013-08-29,1.8519
2013-08-30,-2.5455
2013-09-03,11.9403
2013-09-04,-10.0
2013-09-05,7.4074
2013-09-06,0.0
2013-09-09,-6.8966
2013-09-10,2.963
2013-09-11,-2.8777
2013-09-12,-8.5185
