ticker,RKOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-12-09,-13.6232
2005-12-12,34.2282
2005-12-15,12.5
2005-12-16,-13.3333
2005-12-19,30.7692
2006-01-10,0.0
2006-01-11,5.8824
2006-01-12,9.2593
2006-01-13,1.6949
2006-01-17,11.6667
2006-01-18,-1.4925
2006-01-19,6.0606
2006-01-20,0.0
2006-01-23,7.1429
2006-01-24,0.0
2006-01-25,-5.3333
2006-01-26,2.8169
2006-01-27,2.7397
2006-01-30,-6.6667
2006-01-31,-1.4285999999999999
2006-02-01,13.0435
2006-02-02,2.5641
2006-02-06,0.0
2006-02-07,2.5
2006-02-08,-6.0976
2006-02-09,1.2987
2006-02-10,-3.8462
2006-02-13,0.0
2006-02-14,0.0
2006-02-15,5.3333
2006-02-16,0.0
2006-02-17,-2.5316
2006-02-21,2.5974
2006-02-22,-12.6582
2006-02-23,1.4493
2006-02-24,0.0
2006-02-27,-5.7143
2006-02-28,-4.5455
2006-03-01,-1.5873
2006-03-02,6.4516
2006-03-03,4.9242
2006-03-06,-27.7978
2006-03-07,-20.0
2006-03-08,-15.0
2006-03-09,2.9412000000000003
2006-03-10,-11.4286
2006-03-13,3.2258
2006-03-14,-6.25
2006-03-15,13.3333
2006-03-16,26.4706
2006-03-17,-6.9767
2006-03-20,-2.5
2006-03-21,15.3846
2006-03-22,-4.4444
2006-03-23,-6.9767
2006-03-24,0.0
2006-03-27,5.0
2006-03-28,-7.1429
2006-03-29,2.5641
2006-03-30,-10.0
2006-03-31,13.8889
2006-04-03,17.0732
2006-04-04,-5.2083
2006-04-05,9.8901
2006-04-06,0.0
2006-04-07,0.0
2006-04-10,-16.0
2006-04-11,4.7619
2006-04-12,-2.2727
2006-04-13,19.7674
2006-04-17,16.5049
2006-04-18,33.3333
2006-04-19,-12.5
2006-04-20,10.7143
2006-04-21,-6.4516
2006-04-24,-7.5862
2006-04-25,-5.9701
2006-04-26,25.3968
2006-04-27,-11.3924
2006-04-28,0.0
2006-05-01,0.0
2006-05-02,-7.1429
2006-05-03,-6.1538
2006-05-04,-4.0984
2006-05-05,-4.2735
2006-05-08,-10.7143
2006-05-09,-16.0
2006-05-10,14.2857
2006-05-11,8.3333
2006-05-12,1.9231
2006-05-15,0.0
2006-05-16,3.7736
2006-05-17,-1.8182
2006-05-18,-7.4074
2006-05-19,0.0
2006-05-22,8.0
2006-05-23,-2.037
2006-05-24,2.0794
2006-05-25,-1.8519
2006-05-26,0.0
2006-05-30,7.5472
