ticker,JFIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-10,53.8095
2019-05-13,-6.13
2019-05-14,0.6596
2019-05-15,-8.9122
2019-05-16,56.1151
2019-05-17,-37.7419
2019-05-20,-7.4019
2019-05-21,-15.8273
2019-05-22,0.1899
2019-05-23,4.5498
2019-05-24,-0.272
2019-05-28,-3.8182
2019-05-29,-0.8507
2019-05-30,0.286
2019-05-31,14.4487
2019-06-03,-8.0565
2019-06-04,-1.5356999999999998
2019-06-05,-3.578
2019-06-06,4.0913
2019-06-07,-4.0219
2019-06-10,0.1905
2019-06-11,6.4639
2019-06-12,2.7679
2019-06-13,-1.3032
2019-06-14,14.4366
2019-06-17,-5.3846
2019-06-18,-1.3008
2019-06-19,2.9654
2019-06-20,11.52
2019-06-21,3.2281
2019-06-24,-2.7797
2019-06-25,-8.792
2019-06-26,1.4655
2019-06-27,8.1332
2019-06-28,14.2143
2019-07-01,-5.0031
2019-07-02,6.7149
2019-07-03,-1.2955
2019-07-05,-6.6875
2019-07-08,-12.2572
2019-07-09,-12.2137
2019-07-10,-4.8191
2019-07-11,-13.6655
2019-07-12,-1.3757
2019-07-15,0.3219
2019-07-16,-1.3904
2019-07-17,2.0607
2019-07-18,0.9564
2019-07-19,0.5263
2019-07-22,6.2827
2019-07-23,19.2118
2019-07-24,26.9421
2019-07-25,2.1484
2019-07-26,-4.7164
2019-07-29,13.7124
2019-07-30,-1.8824
2019-07-31,-10.7314
2019-08-01,-3.4923
2019-08-02,-11.1343
2019-08-05,-3.054
2019-08-06,0.8885
2019-08-07,3.0424
2019-08-08,-2.8749000000000002
2019-08-09,0.16
2019-08-12,-10.0639
2019-08-13,-5.4174
2019-08-14,-0.4695
2019-08-15,-0.3774
2019-08-16,0.4735
2019-08-19,7.5401
2019-08-20,9.553
2019-08-21,4.0
2019-08-22,-4.0769
2019-08-23,0.2406
2019-08-26,-4.64
2019-08-27,-4.0268
2019-08-28,1.3112
2019-08-29,6.126
2019-08-30,-2.6016
2019-09-03,-0.6678
2019-09-04,0.2521
2019-09-05,19.8659
2019-09-06,-5.3846
2019-09-09,3.9172000000000002
2019-09-10,2.4182
2019-09-11,1.3889
2019-09-12,-1.4384000000000001
2019-09-13,15.1494
2019-09-16,14.484
2019-09-17,-25.6721
2019-09-18,-1.3475
2019-09-19,-0.7908
2019-09-20,-1.4493
2019-09-23,-2.5735
2019-09-24,-1.3585
2019-09-25,13.8485
2019-09-26,-0.7392
2019-09-27,-1.5572
