ticker,MNPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-19,231.25
2019-12-20,1.8868
2019-12-23,-19.4815
2019-12-24,-10.3036
2019-12-26,-10.7692
2019-12-27,13.7356
2019-12-30,-6.2658
2019-12-31,-10.5121
2020-01-02,4.0361
2020-01-03,2.7794
2020-01-06,-5.1831
2020-01-07,0.1783
2020-01-08,-2.7284
2020-01-09,8.5366
2020-01-10,23.5955
2020-01-13,-3.6818
2020-01-14,-5.663
2020-01-15,-6.1531
2020-01-16,-5.5969999999999995
2020-01-17,-2.2586
2020-01-21,2.253
2020-01-22,-0.2847
2020-01-23,-5.8336
2020-01-24,-0.722
2020-01-27,1.5758
2020-01-28,2.327
2020-01-29,13.7026
2020-01-30,-13.8462
2020-01-31,-14.5833
2020-02-03,8.0836
2020-02-04,-2.5145
2020-02-05,0.2646
2020-02-06,1.7149999999999999
2020-02-07,1.1673
2020-02-10,-25.7692
2020-02-11,11.658
2020-02-12,1.7788
2020-02-13,-7.1429
2020-02-14,1.5319
2020-02-18,-3.0402
2020-02-19,-7.2934
2020-02-20,-2.1753
2020-02-21,-8.7993
2020-02-24,1.9095
2020-02-25,-1.9792999999999998
2020-02-26,-2.8101000000000003
2020-02-27,1.1387
2020-02-28,-1.74
2020-03-02,2.0833
2020-03-03,4.0816
2020-03-04,-9.6078
2020-03-05,-0.5965
2020-03-06,-0.0546
2020-03-09,-7.2052
2020-03-10,2.8235
2020-03-11,-7.4371
2020-03-12,1.2361
2020-03-13,-21.7338
2020-03-16,-21.0608
2020-03-17,37.9447
2020-03-18,11.6046
2020-03-19,-10.1412
2020-03-20,0.0
2020-03-23,-8.7286
2020-03-24,12.0676
2020-03-25,3.352
2020-03-26,0.3973
2020-03-27,-2.8858
2020-03-30,-1.7227999999999999
2020-03-31,1.0479
2020-04-01,-1.0468
2020-04-02,-0.9563
2020-04-03,-8.8605
2020-04-06,3.125
2020-04-07,3.953
2020-04-08,-2.0537
2020-04-09,1.2976
2020-04-13,9.4429
2020-04-14,7.7369
2020-04-15,-9.5485
2020-04-16,10.881499999999999
2020-04-17,-0.6087
2020-04-20,1.4873
2020-04-21,-0.2463
2020-04-22,-3.4568
2020-04-23,-7.9092
2020-04-24,8.2288
2020-04-27,-8.2639
2020-04-28,1.3986
2020-04-29,1.8593
2020-04-30,-0.3358
2020-05-01,-2.8533
2020-05-04,3.4965
2020-05-05,-0.4054
2020-05-06,2.0353
2020-05-07,1.0638
2020-05-08,2.5
2020-05-11,3.466
2020-05-12,-0.4963
2020-05-13,-1.4963
2020-05-14,-0.0253
2020-05-15,-3.0134
2020-05-18,2.6109999999999998
2020-05-20,0.8855
2020-05-21,-3.0216
2020-05-22,-1.0403
2020-05-26,1.3141
2020-05-27,1.5564
2020-05-28,0.8544
2020-05-29,-2.4934
2020-06-01,0.3896
2020-06-02,1.7995
2020-06-03,1.6635
2020-06-04,-1.875
2020-06-05,-3.1847
2020-06-08,11.1842
2020-06-09,3.5503
2020-06-10,-11.5429
2020-06-11,-5.6848
2020-06-12,9.3151
2020-06-15,3.0702
2020-06-16,15.5015
2020-06-17,-10.8421
2020-06-18,2.0071
2020-06-19,-4.9769
2020-06-22,0.2436
2020-06-23,-2.7728
2020-06-24,-1.2722
2020-06-25,2.9114
2020-06-26,-20.4182
2020-06-29,6.6461
2020-06-30,8.1159
2020-07-01,-4.6917
2020-07-02,0.9845
2020-07-06,13.5097
2020-07-07,-6.0012
2020-07-08,4.4264
2020-07-09,-4.0
2020-07-10,4.8177
2020-07-13,-1.5528
2020-07-14,0.1893
2020-07-15,-4.4081
2020-07-16,2.7668
2020-07-17,0.641
2020-07-20,0.0
2020-07-21,-0.8917
2020-07-22,-1.2852999999999999
2020-07-23,-2.1641
2020-07-24,2.4781
2020-07-27,-0.9338
2020-07-28,0.9426
2020-07-29,-2.3377
2020-07-30,1.7287
2020-07-31,-4.0523
