ticker,GNCP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-05,0.0
2004-08-25,1233.3333
2004-09-10,5.0
2004-09-14,0.0
2004-09-15,0.0
2004-09-27,-4.7619
2004-10-06,50.0
2004-10-08,0.0
2004-10-11,0.0
2004-10-12,0.0
2004-10-14,0.0
2004-11-08,233.3333
2004-11-09,50.0
2004-11-10,16.6667
2004-11-11,0.0
2004-11-12,57.1429
2004-11-15,27.2727
2004-11-16,30.7143
2004-11-17,-18.5792
2004-11-18,-16.7785
2004-11-19,-24.1935
2004-11-22,6.383
2004-11-23,-9.8
2004-11-24,25.2772
2004-11-26,7.9646
2004-11-29,-5.5738
2004-11-30,6.4236
2004-12-01,2.7732
2004-12-02,12.5397
2004-12-03,10.7193
2004-12-06,-0.6369
2004-12-07,-13.461500000000001
2004-12-08,-11.2593
2004-12-09,-9.6828
2004-12-10,-7.5786
2004-12-13,3.0
2004-12-14,-0.7767
2004-12-15,18.0039
2004-12-16,2.8192
2004-12-17,-11.9355
2004-12-20,-4.5788
2004-12-21,-2.1113
2004-12-22,4.1176
2004-12-23,3.5782
2004-12-27,3.6364
2004-12-28,5.2632
2004-12-29,-4.1667
2004-12-30,4.1739
2004-12-31,6.01
2005-01-03,0.7874
2005-01-04,-3.125
2005-01-05,-4.8387
2005-01-06,-6.7797
2005-01-07,-2.0
2005-01-10,2.0408
2005-01-11,-3.6364
2005-01-12,-5.6604
2005-01-13,5.0
2005-01-14,-1.9048
2005-01-18,-2.9126
2005-01-19,-4.0
2005-01-20,-9.375
2005-01-21,2.2989
2005-01-24,-6.7416
2005-01-25,2.4096
2005-01-26,-1.1764999999999999
2005-01-27,-5.2381
2005-01-28,-0.7538
2005-01-31,7.5949
2005-02-01,-12.0
2005-02-02,4.2781
2005-02-03,34.6154
2005-02-04,19.0476
2005-02-07,1.6
2005-02-08,-21.2598
2005-02-09,16.0
2005-02-10,-2.5862
2005-02-11,9.2035
2005-02-14,2.107
2005-02-15,0.0
2005-02-16,2.8571
2005-02-17,10.3395
2005-02-18,5.3147
2005-02-22,6.3745
2005-02-23,1.623
2005-02-24,-17.0762
2005-02-25,6.6667
2005-02-28,3.4722
2005-03-01,2.5503
2005-03-02,-0.5236
2005-03-03,2.6316
2005-03-04,-0.3846
2005-03-07,2.9600999999999997
2005-03-08,-2.5
2005-03-09,1.6667
2005-03-10,-9.3317
2005-03-11,-8.2058
2005-03-14,3.0303
2005-03-15,0.0
2005-03-16,-13.2353
2005-03-17,-1.6949
