ticker,KOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-11,1.3333
2011-05-12,-1.3158
2011-05-13,0.7222
2011-05-16,0.1655
2011-05-17,-1.3216
2011-05-18,1.7299
2011-05-19,4.0044
2011-05-20,-0.1582
2011-05-23,-2.747
2011-05-24,0.4345
2011-05-25,1.298
2011-05-26,-1.1212
2011-05-27,3.8877
2011-05-31,-0.4678
2011-06-01,-0.8877
2011-06-02,-1.0011
2011-06-03,1.1176
2011-06-06,-3.1053
2011-06-07,-2.1184
2011-06-08,0.8324
2011-06-09,2.2565
2011-06-10,-1.5070000000000001
2011-06-13,1.0929
2011-06-14,-0.8108
2011-06-15,-0.7084
2011-06-16,0.4391
2011-06-17,0.1639
2011-06-20,-0.982
2011-06-21,-1.157
2011-06-22,-0.5017
2011-06-23,-0.056
2011-06-24,-2.8026999999999997
2011-06-27,-1.7301
2011-06-28,0.0
2011-06-29,-2.4061
2011-06-30,2.1046
2011-07-01,-1.4723
2011-07-05,2.1518
2011-07-06,-1.5213999999999999
2011-07-07,2.9115
2011-07-08,-1.6166
2011-07-11,-1.5845
2011-07-12,-0.8945
2011-07-13,1.2034
2011-07-14,-0.1189
2011-07-15,-0.4762
2011-07-18,-4.6053
2011-07-19,0.7524
2011-07-20,0.4978
2011-07-21,-0.6192
2011-07-22,-2.243
2011-07-25,-2.6131
2011-07-26,-0.6545
2011-07-27,-1.5152
2011-07-28,2.9431000000000003
2011-07-29,-1.2995
2011-08-01,0.2633
2011-08-02,-2.1668
2011-08-03,-0.3356
2011-08-04,-8.8215
2011-08-05,-3.3973
2011-08-08,-6.1162
2011-08-09,-1.7915
2011-08-10,-4.5605
2011-08-11,4.1703
2011-08-12,-3.3361
2011-08-15,6.8162
2011-08-16,1.1309
2011-08-17,1.1182
2011-08-18,-0.5529
2011-08-19,-3.6536999999999997
2011-08-22,-0.9893
2011-08-23,5.4954
2011-08-24,5.7616
2011-08-25,-2.5373
2011-08-26,0.6126
2011-08-29,6.1644
2011-08-30,-0.0717
2011-08-31,-0.4304
2011-09-01,-3.9625
2011-09-02,-0.6752
2011-09-06,-4.3051
2011-09-07,5.1302
2011-09-08,-1.8769
2011-09-09,-3.443
2011-09-12,-3.5658
2011-09-13,1.8899
2011-09-14,2.7419000000000002
2011-09-15,2.7473
2011-09-16,1.7570999999999999
2011-09-19,-0.1502
2011-09-20,-0.1504
2011-09-21,-3.6898
2011-09-22,-8.4441
2011-09-23,2.7327
2011-09-26,-1.4963
