ticker,TRBO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-04-26,0.0
2006-05-10,0.0
2006-10-04,0.0
2007-03-01,0.0
2008-03-03,0.0
2008-03-10,0.0
2008-03-26,0.0
2008-03-27,0.0
2008-10-06,0.0
2008-10-13,-40.0
2008-10-30,-66.6667
2009-03-03,-90.0
2009-03-04,0.0
2009-08-03,18.75
2009-12-09,321.0526
2010-02-10,300.0
2010-03-01,0.0
2010-03-30,125.0
2010-04-26,0.0
2010-04-30,-11.1111
2010-05-06,-50.0
2010-05-11,250.0
2010-05-12,1.4285999999999999
2010-05-13,-43.662
2010-05-14,0.0
2010-05-27,-45.0
2010-06-03,4.5455
2010-06-04,0.0
2010-06-08,0.0
2010-06-14,0.0
2010-06-29,-4.3478
2010-07-07,-31.8182
2010-07-21,-26.6667
2010-07-27,172.7273
2010-09-09,0.0
2010-09-21,-50.0
2010-09-24,0.0
2010-10-11,0.0
2010-10-14,0.0
2011-03-22,-26.6667
2011-04-29,263.6364
2011-05-05,-36.25
2011-05-20,-56.8627
2011-06-07,0.0
2011-06-27,0.0
2011-09-07,-9.0909
2012-01-13,0.0
2012-02-29,-10.0
2012-03-21,-77.7778
2012-04-13,500.0
2012-04-16,316.6667
2012-04-17,40.0
2012-04-20,28.5714
2012-04-24,-1.1111
2012-05-09,-77.5281
2012-06-20,95.0
2012-08-31,-71.7949
2012-10-02,-80.1136
2013-03-06,37.1429
2013-05-20,33.3333
2014-04-22,0.0
2014-09-22,2400.0
2014-10-30,-60.0
2015-03-02,-98.3846
2015-03-03,-57.0
2015-03-26,-46.8439
2015-03-27,6.25
2015-04-10,-52.9412
2015-04-13,0.0
2015-05-01,-12.5
2015-05-11,-5.7143
2015-05-14,-39.3939
2015-05-15,-37.5
2015-05-18,40.0
2015-05-26,-14.2857
2015-06-01,-16.6667
2015-06-05,-20.0
2015-06-12,-80.0
2015-06-15,-22.0313
2015-06-16,-32.6653
2015-06-17,-42.8571
2015-06-18,33.3333
2015-06-19,18.75
2015-06-22,-47.3684
2015-06-23,-20.0
2015-06-24,-6.25
2015-06-25,0.0
2015-06-26,-10.8333
2015-06-29,19.6262
2015-06-30,-25.0
2015-07-01,25.0
2015-07-02,-6.6667
2015-07-06,-14.2857
2015-07-07,-28.125
2015-07-08,34.7826
2015-07-09,20.4301
2015-07-10,-28.5714
2015-07-13,-13.75
2015-07-14,-2.8986
2015-07-15,43.2836
2015-07-16,102.0833
2015-07-17,8.7629
2015-07-20,6.1611
