ticker,YNDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-24,55.36
2011-05-25,-9.8867
2011-05-26,-0.6571
2011-05-27,-0.9203
2011-05-31,-2.9028
2011-06-01,-3.5874
2011-06-02,3.9379999999999997
2011-06-03,-0.0597
2011-06-06,2.1791
2011-06-07,2.2495
2011-06-08,-4.8857
2011-06-09,-1.502
2011-06-10,-2.9459999999999997
2011-06-13,-1.5523
2011-06-14,0.8618
2011-06-15,-4.2089
2011-06-16,0.8589
2011-06-17,0.9171
2011-06-20,-1.5904
2011-06-21,2.6715
2011-06-22,-1.3492
2011-06-23,1.4979
2011-06-24,1.2191
2011-06-27,3.0111
2011-06-28,4.5846
2011-06-29,2.3242
2011-06-30,2.0989
2011-07-01,0.5069
2011-07-05,-4.4971
2011-07-06,-0.4547
2011-07-07,0.6484
2011-07-08,5.2709
2011-07-11,-5.0626
2011-07-12,-1.7287
2011-07-13,2.8324
2011-07-14,-0.9278
2011-07-15,2.3998
2011-07-18,2.6292999999999997
2011-07-19,-0.4456
2011-07-20,-2.1259
2011-07-21,-0.1715
2011-07-22,2.0613
2011-07-25,2.5526
2011-07-26,2.4344
2011-07-27,2.8304
2011-07-28,-1.9995
2011-07-29,-7.3132
2011-08-01,-6.2607
2011-08-02,-0.9759
2011-08-03,5.4512
2011-08-04,-4.7605
2011-08-05,-5.4584
2011-08-08,-12.2932
2011-08-09,10.0592
2011-08-10,-0.1008
2011-08-11,3.1282
2011-08-12,0.0
2011-08-15,-0.2283
2011-08-16,-4.6093
2011-08-17,2.8444000000000003
2011-08-18,-1.4995
2011-08-19,1.4546999999999999
2011-08-22,-3.1344
2011-08-23,-0.4131
2011-08-24,6.9824
2011-08-25,-1.454
2011-08-26,-0.1639
2011-08-29,-0.3284
2011-08-30,-1.285
2011-08-31,3.3712
2011-09-01,0.7104
2011-09-02,-2.597
2011-09-06,-3.8183
2011-09-07,1.9849
2011-09-08,1.5436
2011-09-09,-1.0905
2011-09-12,-3.0404
2011-09-13,-2.2054
2011-09-14,2.7484
2011-09-15,1.9889999999999999
2011-09-16,0.9079
2011-09-19,-1.4662
2011-09-20,-3.2465
2011-09-21,-2.2719
2011-09-22,-9.1559
2011-09-23,0.5512
2011-09-26,-1.8794
2011-09-27,5.1875
2011-09-28,-13.1259
2011-09-29,-1.31
2011-09-30,-9.469
2011-10-03,-7.2825
2011-10-04,-0.8434
2011-10-05,5.529
2011-10-06,1.6625
2011-10-07,-1.7839
2011-10-10,8.8295
