ticker,WTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-28,-2.6316
2005-01-31,-1.6216
2005-02-01,0.0549
2005-02-02,0.0
2005-02-03,0.2197
2005-02-04,-0.274
2005-02-07,0.2198
2005-02-08,-0.2741
2005-02-09,1.1545
2005-02-10,2.9891
2005-02-11,0.7916
2005-02-14,-0.7853
2005-02-15,-1.2137
2005-02-16,-0.0534
2005-02-17,1.6569
2005-02-18,1.9979
2005-02-22,-0.6701
2005-02-23,-0.1038
2005-02-24,0.3636
2005-02-25,3.5197000000000003
2005-02-28,-0.5
2005-03-01,-1.2563
2005-03-02,1.1196
2005-03-03,0.0503
2005-03-04,0.6036
2005-03-07,-0.5
2005-03-08,0.5025
2005-03-09,2.65
2005-03-10,-1.169
2005-03-11,0.0493
2005-03-14,1.9212
2005-03-15,0.7733
2005-03-16,1.3909
2005-03-17,1.7029
2005-03-18,2.5581
2005-03-21,-1.5873
2005-03-22,1.5207000000000002
2005-03-23,-4.2215
2005-03-24,1.2322
2005-03-28,-0.9831
2005-03-29,-3.4515000000000002
2005-03-30,0.6366
2005-03-31,1.0219
2005-04-01,0.0963
2005-04-04,3.9461
2005-04-05,-0.8333
2005-04-06,-0.747
2005-04-07,0.1881
2005-04-08,-0.0469
2005-04-11,0.7985
2005-04-12,-0.6524
2005-04-13,-2.8143000000000002
2005-04-14,0.1932
2005-04-15,-2.9894
2005-04-18,-0.0994
2005-04-19,1.9403000000000001
2005-04-20,-2.8306
2005-04-21,1.4566
2005-04-22,-1.0396
2005-04-25,2.9015
2005-04-26,-0.1458
2005-04-27,0.0974
2005-04-28,-2.5778
2005-04-29,0.0999
2005-05-02,1.7955
2005-05-03,-4.7036
2005-05-04,2.4165
2005-05-05,2.4598
2005-05-06,-0.539
2005-05-09,3.4483
2005-05-10,2.5714
2005-05-11,0.4643
2005-05-12,-4.1128
2005-05-13,-1.8795
2005-05-16,-0.6876
2005-05-17,0.7913
2005-05-18,1.0795
2005-05-19,-0.4854
2005-05-20,-0.7317
2005-05-23,-1.4742
2005-05-24,1.197
2005-05-25,1.1828
2005-05-26,4.0916
2005-05-27,2.9481
2005-05-31,-2.0
2005-06-01,0.603
2005-06-02,3.7344
2005-06-03,-0.1333
2005-06-06,-0.445
2005-06-07,-0.5811
2005-06-08,-2.3830999999999998
2005-06-09,0.737
2005-06-10,2.1491
2005-06-13,0.1343
2005-06-14,0.5811
2005-06-15,2.7556000000000003
2005-06-16,3.8062
2005-06-17,-1.4583
