ticker,MXVDD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-01-06,2.0588
2006-01-09,-3.4582
2006-01-11,-2.5373
2006-01-12,-0.4594
2006-01-17,-3.0769
2006-01-18,6.5079
2006-01-20,-1.6393
2006-01-25,3.0303
2006-01-26,8.0882
2006-01-27,-4.7619
2006-01-30,0.0
2006-01-31,1.4285999999999999
2006-02-01,-1.4085
2006-02-03,-4.2857
2006-02-13,-5.9701
2006-02-17,-9.5238
2006-02-21,10.526299999999999
2006-02-23,-2.3810000000000002
2006-02-24,5.6911000000000005
2006-02-27,-2.4615
2006-03-03,5.6782
2006-03-06,2.9104
2006-03-07,-2.8281
2006-03-08,5.9701
2006-03-09,4.9296
2006-03-10,-7.6091
2006-03-13,6.7829
2006-03-15,2.7211
2006-03-16,-9.9338
2006-03-17,0.0
2006-03-20,-6.7647
2006-03-21,-3.7855
2006-03-23,10.6557
2006-03-27,-7.4074
2006-03-28,1.6
2006-03-30,-2.3622
2006-03-31,-0.8065
2006-04-03,0.813
2006-04-04,-1.6129
2006-04-05,-0.3279
2006-04-06,5.2632
2006-04-07,-3.125
2006-04-10,-14.3044
2006-04-11,3.5172
2006-04-12,4.5455
2006-04-13,2.2609
2006-04-17,0.3401
2006-04-18,-6.7797
2006-04-19,-4.5455
2006-04-20,8.5714
2006-04-21,-5.2632
2006-04-24,14.8148
2006-04-25,-9.979800000000001
2006-04-26,14.6697
2006-04-28,-1.5625
2006-05-02,-2.0635
2006-05-03,1.7018
2006-05-09,-2.7888
2006-05-10,0.0
2006-05-11,-1.6393
2006-05-12,-0.8333
2006-05-16,-14.5903
2006-05-17,14.9182
2006-05-18,-14.3836
2006-05-19,-4.8
2006-05-23,-6.5126
2006-05-24,-1.3483
2006-05-26,14.3508
2006-05-30,-0.3984
2006-06-01,10.2375
2006-06-06,-9.6496
2006-06-08,-11.6466
2006-06-13,-6.8182
2006-06-14,-12.2256
2006-06-15,13.9284
2006-06-20,1.2195
2006-06-21,15.6627
2006-06-27,-12.5
2006-06-30,9.5238
2006-07-10,-4.3478
2006-07-11,0.2273
2006-07-14,-1.5590000000000002
2006-07-17,-0.9502
2006-07-18,0.0
2006-07-19,0.0
2006-07-21,-10.1453
2006-07-25,-0.7926
2006-07-26,6.9623
2006-07-28,-6.25
2006-08-03,24.878
2006-08-04,-5.8333
2006-08-08,10.5918
2006-08-15,-9.9775
2006-08-16,0.0
2006-08-18,-13.3333
2006-08-21,0.0
2006-08-29,5.2083
2006-08-31,-8.6062
