ticker,WY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.698
2000-01-04,-3.7567
2000-01-05,5.2974
2000-01-06,4.6777999999999995
2000-01-07,-3.2884
2000-01-10,-0.4359
2000-01-11,-1.0508
2000-01-12,-2.3894
2000-01-13,-0.544
2000-01-14,1.0027
2000-01-18,-3.8809
2000-01-19,-4.6009
2000-01-20,2.3622
2000-01-21,-1.7308
2000-01-24,-4.501
2000-01-25,-4.6107
2000-01-26,0.1504
2000-01-27,-1.4039
2000-01-28,3.5049
2000-01-31,-2.8571
2000-02-01,-0.2179
2000-02-02,-1.31
2000-02-03,-3.3186
2000-02-04,0.6865
2000-02-07,-4.3182
2000-02-08,2.019
2000-02-09,-3.2596
2000-02-10,0.1203
2000-02-11,-1.3221
2000-02-14,1.5834000000000001
2000-02-15,2.8777
2000-02-16,-0.2331
2000-02-17,-1.285
2000-02-18,-7.6923
2000-02-22,5.8974
2000-02-23,-3.1477
2000-02-24,-0.625
2000-02-25,-0.7547
2000-02-28,1.9011
2000-02-29,2.1144
2000-03-01,4.1413
2000-03-02,-1.6374
2000-03-03,1.6646999999999998
2000-03-06,-1.8713
2000-03-07,-3.9333
2000-03-08,3.4739
2000-03-09,-0.7194
2000-03-10,5.1932
2000-03-13,1.2629000000000001
2000-03-14,-5.3288
2000-03-15,4.4311
2000-03-16,8.3716
2000-03-17,-5.3968
2000-03-20,1.5659999999999998
2000-03-21,0.1101
2000-03-22,-4.7305
2000-03-23,4.2725
2000-03-24,-2.3256
2000-03-27,0.0
2000-03-28,0.1134
2000-03-29,2.9445
2000-03-30,4.1804
2000-03-31,-3.6959
2000-04-03,2.5219
2000-04-04,-2.7807
2000-04-05,-0.11
2000-04-06,0.8811
2000-04-07,1.8559
2000-04-10,4.0729
2000-04-11,1.1329
2000-04-12,0.9165
2000-04-13,-5.2472
2000-04-14,-5.7508
2000-04-17,-0.565
2000-04-18,-2.7273
2000-04-19,0.4673
2000-04-20,0.814
2000-04-24,1.8454000000000002
2000-04-25,0.453
2000-04-26,0.9019
2000-04-27,-5.2514
2000-04-28,0.7075
2000-05-01,-1.4052
2000-05-02,2.3753
2000-05-03,-0.7657
2000-05-04,0.1178
2000-05-05,2.4706
2000-05-08,-0.4592
2000-05-09,0.4614
2000-05-10,0.4592
2000-05-11,-0.8
2000-05-12,0.576
2000-05-15,0.2291
2000-05-16,-0.2286
2000-05-17,-0.2291
2000-05-18,-1.9518
2000-05-19,-0.7026
2000-05-22,-2.1226
