ticker,ETR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9417
2000-01-04,0.2475
2000-01-05,4.1975
2000-01-06,-1.8957000000000002
2000-01-07,0.0
2000-01-10,-0.4831
2000-01-11,0.7282
2000-01-12,-0.4819
2000-01-13,-1.937
2000-01-14,-0.2469
2000-01-18,-2.7228
2000-01-19,-1.2723
2000-01-20,-1.2887
2000-01-21,1.0444
2000-01-24,-4.9096
2000-01-25,-3.2609
2000-01-26,-0.2809
2000-01-27,3.662
2000-01-28,2.7174
2000-01-31,5.5556
2000-02-01,2.2556
2000-02-02,-2.2059
2000-02-03,2.005
2000-02-04,-1.9656
2000-02-07,-1.2530999999999999
2000-02-08,0.0
2000-02-09,-3.0457
2000-02-10,-2.0942
2000-02-11,0.2139
2000-02-14,1.6216
2000-02-15,-2.9255
2000-02-16,-1.9178
2000-02-17,-1.9553
2000-02-18,-2.2792
2000-02-22,0.8746
2000-02-23,-1.4451
2000-02-24,-4.3988
2000-02-25,-0.6135
2000-02-28,3.0864
2000-02-29,-2.9939999999999998
2000-03-01,0.6173
2000-03-02,0.3067
2000-03-03,-0.3058
2000-03-06,-18.0982
2000-03-07,3.7453
2000-03-08,0.0
2000-03-09,2.8881
2000-03-10,0.7018
2000-03-13,1.7422
2000-03-14,-3.7671
2000-03-15,4.6263
2000-03-16,5.4422
2000-03-17,0.6452
2000-03-20,2.2436
2000-03-21,-0.3135
2000-03-22,-3.1447
2000-03-23,2.2727
2000-03-24,0.9524
2000-03-27,0.6289
2000-03-28,0.0
2000-03-29,1.875
2000-03-30,-3.3742
2000-03-31,2.5397
2000-04-03,-0.3096
2000-04-04,2.795
2000-04-05,4.5317
2000-04-06,-4.3353
2000-04-07,-0.9063
2000-04-10,3.0488
2000-04-11,3.8462
2000-04-12,1.7094
2000-04-13,5.6022
2000-04-14,-2.6525
2000-04-17,1.0899
2000-04-18,-0.8086
2000-04-19,-1.087
2000-04-20,2.4725
2000-04-24,6.4343
2000-04-25,2.267
2000-04-26,6.8966
2000-04-27,-4.8387
2000-04-28,-1.4527999999999999
2000-05-01,1.4742
2000-05-02,-1.6949
2000-05-03,0.0
2000-05-04,2.2167
2000-05-05,-0.4819
2000-05-08,3.632
2000-05-09,0.2336
2000-05-10,2.7972
2000-05-11,-0.2268
2000-05-12,-1.6364
2000-05-15,-0.9346
2000-05-16,0.2358
2000-05-17,-3.2941
2000-05-18,2.4331
2000-05-19,2.3753
2000-05-22,1.3921000000000001
2000-05-23,0.4577
